Geo Code,Geo Name,Line Number
"421027101","0271.01",925766
"421027102","0271.02",928013
"421027200","0272.00",930260
"421027301","0273.01",932507
"421027302","0273.02",934754
"421027303","0273.03",937001
"421027304","0273.04",939248
"421028001","0280.01",941495
"421028002","0280.02",943742
"421028003","0280.03",945989
"421029001","0290.01",948236
"421029003","0290.03",950483
"421029004","0290.04",952730
"421030000","0300.00",954977
"421031000","0310.00",957224
"421031101","0311.01",959471
"421031102","0311.02",961718
"421032001","0320.01",963965
"421032002","0320.02",966212
"421032003","0320.03",968459
"421032004","0320.04",970706
"421032005","0320.05",972953
"421032007","0320.07",975200
"421032008","0320.08",977447
"421033000","0330.00",979694
"421034001","0340.01",981941
"421034002","0340.02",984188
"421034003","0340.03",986435
"421036001","0360.01",988682
"421036002","0360.02",990929
"421037000","0370.00",993176
"421050000","0500.00",995423
"421051000","0510.00",997670
"421052000","0520.00",999917
"421053000","0530.00",1002164
"421054000","0540.00",1004411
"421060003","0600.03",1006658
"421060004","0600.04",1008905
"421060005","0600.05",1011152
"421060006","0600.06",1013399
"421060500","0605.00",1015646
"421061000","0610.00",1017893
"421070000","0700.00",1020140
"421080001","0800.01",1022387
"421080002","0800.02",1024634
"421080100","0801.00",1026881
"421080200","0802.00",1029128
"421081000","0810.00",1031375
"421081100","0811.00",1033622
"421081200","0812.00",1035869
"421082001","0820.01",1038116
"421082003","0820.03",1040363
"421082004","0820.04",1042610
"421082500","0825.00",1044857
"421083001","0830.01",1047104
"421083002","0830.02",1049351
"421083503","0835.03",1051598
"421083504","0835.04",1053845
"421083505","0835.05",1056092
"421083506","0835.06",1058339
"421083507","0835.07",1060586
"421084001","0840.01",1062833
"421084002","0840.02",1065080
"421084503","0845.03",1067327
"421084504","0845.04",1069574
"421084505","0845.05",1071821
"421084506","0845.06",1074068
"421084602","0846.02",1076315
"421084603","0846.03",1078562
"421084604","0846.04",1080809
"421085002","0850.02",1083056
"421085003","0850.03",1085303
"421085004","0850.04",1087550
"421085005","0850.05",1089797
"421090000","0900.00",1092044
"421090100","0901.00",1094291
"421090200","0902.00",1096538
