OBJECTID,Join_Count,TARGET_FID,Row_Labels,Average_of,Average__1,Comm,BUFF_DIST,ORIG_FID,OBJECTID_1,OBJECTID_12,BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE,SHARED,COMPLEX,POINT_X,POINT_Y,SCHID,NAME,TOWN_MAIL,TOWN,STATE,ZIP,PRINCIPAL,PHONE,FAX,GRADES,TYPE,Shape_Length,Shape_Area
18,0,18,45,42.321629999999999,-71.092020000000005,0,200.000000000000000,28,,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.013349373378326,0.000013714908280
19,0,19,47,42.296810000000001,-71.132919999999999,0,200.000000000000000,29,,19,,,,,,,,,,,,,,,,,,,,,,,,,,0.013346197702905,0.000013709582636
20,0,20,48,42.309049999999999,-71.120800000000003,0,200.000000000000000,30,,20,,,,,,,,,,,,,,,,,,,,,,,,,,0.013347763053904,0.000013712207570
21,0,21,51,42.350220000000000,-71.091809999999995,0,200.000000000000000,32,,21,,,,,,,,,,,,,,,,,,,,,,,,,,0.013353037681474,0.000013721053747
22,0,22,57,42.340310000000002,-71.109930000000006,0,200.000000000000000,35,,22,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351766835582,0.000013718922467
23,0,23,58,42.313609999999997,-71.046790000000001,0,200.000000000000000,36,,23,,,,,,,,,,,,,,,,,,,,,,,,,,0.013348346462950,0.000013713186097
24,1,24,64,42.328029999999998,-71.056920000000005,0,200.000000000000000,39,116,24,,,655 Dorchester Avenue,,,,,,,,,,,,00350882,St Mary Of Czestochowa,South Boston,BOSTON,MA,02127,Marie Laclaire,617-268-3766,--,"PK,K,1,2,3,4,5,6,7,8",PRI,0.013350193032370,0.000013716283088
25,0,25,66,42.336880000000001,-71.078720000000004,0,200.000000000000000,41,,25,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351326977537,0.000013718184662
26,0,26,69,42.289879999999997,-71.118170000000006,0,200.000000000000000,42,,26,,,,,,,,,,,,,,,,,,,,,,,,,,0.013345311048082,0.000013708095079
27,0,27,74,42.318579999999997,-71.056730000000002,0,200.000000000000000,45,,27,,,,,,,,,,,,,,,,,,,,,,,,,,0.013348982781480,0.000013714253172
28,1,28,75,42.325960000000002,-71.083389999999994,0,200.000000000000000,46,32,28,44,Wheatley Bldg,20 Kearsage Avenue,Roxbury,02119,1410,1410,Boston Day and Evening Academy,BDEA,Special, , ,769277.865975999971852,2944471.839110000059009,,,,,,,,,,,,0.013349927937522,0.000013715838498
29,0,29,76,42.340089999999996,-71.166139999999999,0,200.000000000000000,47,,29,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351738702262,0.000013718875531
30,0,30,77,42.336060000000003,-71.091329999999999,0,200.000000000000000,48,,30,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351222061060,0.000013718008988
31,0,31,78,42.334240000000001,-71.072460000000007,0,200.000000000000000,49,,31,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350989016657,0.000013717618113
32,0,32,80,42.328029999999998,-71.067899999999995,0,200.000000000000000,51,,32,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350192847980,0.000013716282754
33,0,33,81,42.344009999999997,-71.103470000000002,0,200.000000000000000,52,,33,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352241364401,0.000013719718468
34,2,34,82,42.340789999999998,-71.070710000000005,0,200.000000000000000,53,21,34,28,Blackstone Bldg,380 Shawmut Avenue,Boston,02118,4640,4640,Blackstone Elementary,Blackstone,ES, , ,771753.999993999954313,2949480.000010000076145,8027,Cathedral High,Boston,BOSTON,MA,02118,Christol Murch,617-542-2325,617-542-1745,"9,10,11,12",PRI,0.013351828667524,0.000013719026262
35,1,35,86,42.346899999999998,-71.065870000000004,0,200.000000000000000,56,16,35,22,Boston HS Bldg,885 Washington Street,Boston,02111,4650,4650,Quincy Lower (K-5),Quincy Lower (K-5),K-12, , ,773779.124763999949209,2952129.104590000119060,,,,,,,,,,,,0.013352611873083,0.000013720339614
36,0,36,87,42.292850000000001,-71.096239999999995,0,200.000000000000000,57,,36,,,,,,,,,,,,,,,,,,,,,,,,,,0.013345690663514,0.000013708731642
37,0,37,90,42.346339999999998,-71.063190000000006,0,200.000000000000000,60,,37,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352539976096,0.000013720219139
38,0,38,91,42.293100000000003,-71.149379999999994,0,200.000000000000000,61,,38,,,,,,,,,,,,,,,,,,,,,,,,,,0.013345722561896,0.000013708785289
39,0,39,96,42.296070000000000,-71.061369999999997,0,200.000000000000000,63,,39,,,,,,,,,,,,,,,,,,,,,,,,,,0.013346102747349,0.000013709422721
40,0,40,99,42.307310000000001,-71.119510000000005,0,200.000000000000000,65,,40,,,,,,,,,,,,,,,,,,,,,,,,,,0.013347540193344,0.000013711833822
41,0,41,103,42.351059999999997,-71.168620000000004,0,200.000000000000000,67,,41,,,,,,,,,,,,,,,,,,,,,,,,,,0.013353145546010,0.000013721234717
42,0,42,106,42.318820000000002,-71.095309999999998,0,200.000000000000000,69,,42,,,,,,,,,,,,,,,,,,,,,,,,,,0.013349013881137,0.000013714305656
43,0,43,110,42.360660000000003,-71.129230000000007,0,200.000000000000000,70,,43,,,,,,,,,,,,,,,,,,,,,,,,,,0.013354377050748,0.000013723299794
44,0,44,113,42.337699999999998,-71.095590000000001,0,200.000000000000000,71,,44,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351432247191,0.000013718361113
45,0,45,116,42.379989999999999,-71.025400000000005,0,200.000000000000000,73,,45,,,,,,,,,,,,,,,,,,,,,,,,,,0.013356859053081,0.000013727461676
46,1,46,117,42.341410000000003,-71.107519999999994,0,200.000000000000000,74,146,46,,,103 Pilgrim Rd,,,,,,,,,,,,00350910,The Winsor School,Boston,BOSTON,MA,02215,Carolyn McClintock,617-735-9500,--,"5,6,7,8,9,10,11,12",PRI,0.013351908434441,0.000013719159982
47,0,47,118,42.333199999999998,-71.109459999999999,0,200.000000000000000,75,,47,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350855680818,0.000013717394204
48,0,48,119,42.377710000000000,-71.026110000000003,0,200.000000000000000,76,,48,,,,,,,,,,,,,,,,,,,,,,,,,,0.013356566000975,0.000013726970316
49,0,49,121,42.340190000000000,-71.063069999999996,0,200.000000000000000,77,,49,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351751777392,0.000013718897370
50,0,50,125,42.351149999999997,-71.085099999999997,0,200.000000000000000,81,,50,,,,,,,,,,,,,,,,,,,,,,,,,,0.013353156560299,0.000013721252916
51,0,51,126,42.368879999999997,-71.039749999999998,0,200.000000000000000,82,,51,,,,,,,,,,,,,,,,,,,,,,,,,,0.013355432199880,0.000013725069163
52,0,52,130,42.338639999999998,-71.149270000000001,0,200.000000000000000,85,,52,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351552813058,0.000013718563703
53,1,53,131,42.309150000000002,-71.073949999999996,0,200.000000000000000,86,45,53,59,Frederick Middle,270 Columbia Road,Dorchester,02121,2360,2360,Frederick Pilot Middle,Frederick MS,MS, , ,771013.999993999954313,2937930.000000000000000,,,,,,,,,,,,0.013347775497116,0.000013712228383
54,0,54,132,42.332619999999999,-71.072159999999997,0,200.000000000000000,87,,54,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350781192862,0.000013717269263
55,0,55,133,42.357160000000000,-71.065089999999998,0,200.000000000000000,88,,55,,,,,,,,,,,,,,,,,,,,,,,,,,0.013353927762293,0.000013722546199
56,0,56,135,42.350360000000002,-71.048460000000006,0,200.000000000000000,89,,56,,,,,,,,,,,,,,,,,,,,,,,,,,0.013353055459551,0.000013721083776
57,0,57,136,42.331420000000001,-71.094480000000004,0,200.000000000000000,90,,57,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350627486906,0.000013717011681
58,1,58,141,42.332039999999999,-71.084040000000002,0,200.000000000000000,93,168,58,,,2179 Washington Street,,,,,,,,,,,,5101,City On A Hill Charter Public School - Dudley Square,Roxbury,BOSTON,MA,02119,Sonya Pratt,617-516-5888,617-445-9153,"9,10,11,12",CHA,0.013350706824749,0.000013717144763
59,0,59,142,42.267620000000001,-71.150149999999996,0,200.000000000000000,94,,59,,,,,,,,,,,,,,,,,,,,,,,,,,0.013342467324036,0.000013703324998
60,0,60,143,42.353490000000001,-71.071489999999997,0,200.000000000000000,95,,60,,,,,,,,,,,,,,,,,,,,,,,,,,0.013353456939423,0.000013721756560
61,0,61,145,42.339050000000000,-71.057130000000001,0,200.000000000000000,96,,61,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351605090649,0.000013718651269
62,0,62,155,42.319569999999999,-71.081440000000001,0,200.000000000000000,100,,62,,,,,,,,,,,,,,,,,,,,,,,,,,0.013349109775246,0.000013714466287
63,0,63,156,42.282389999999999,-71.114919999999998,0,200.000000000000000,101,,63,,,,,,,,,,,,,,,,,,,,,,,,,,0.013344353515397,0.000013706488418
64,0,64,159,42.303300000000000,-71.103759999999994,0,200.000000000000000,103,,64,,,,,,,,,,,,,,,,,,,,,,,,,,0.013347027294820,0.000013710973593
65,0,65,162,42.333770000000001,-71.082549999999998,0,200.000000000000000,104,,65,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350928644651,0.000013717516749
66,0,66,164,42.347520000000003,-71.040710000000004,0,200.000000000000000,105,,66,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352691191803,0.000013720472483
67,0,67,166,42.364789999999999,-71.135459999999995,0,200.000000000000000,107,,67,,,,,,,,,,,,,,,,,,,,,,,,,,0.013354907052784,0.000013724188538
68,1,68,167,42.278149999999997,-71.121530000000007,0,200.000000000000000,108,120,68,,,1035 Canterbury,,,,,,,,,,,,8060,Sacred Heart Elementary,Roslindale,BOSTON,MA,02131,Monica Haldiman,617-323-2500,617-325-7151,"PK,K,1,2,3,4,5,6,7,8",PRI,0.013343811817740,0.000013705580005
69,1,69,170,42.339219999999997,-71.050380000000004,0,200.000000000000000,111,115,69,156,Condon Bldg,200 D Street,South Boston,02127,4630,4630,Condon K-8,Condon K-8,K-8, , ,777250.000000000000000,2948520.000010000076145,,,,,,,,,,,,0.013351627041703,0.000013718688146
70,1,70,171,42.335470000000001,-71.045509999999993,0,200.000000000000000,112,1375,70,,,133 Dorchester Street,,,,,,,,,,,, ,Julie's Family Learning Program,South Boston,BOSTON,MA,02127,Robert Monahan,617-269-6663,--,"PK, K",PRI,0.013351146491064,0.000013717882166
71,0,71,173,42.275250000000000,-71.140649999999994,0,200.000000000000000,113,,71,,,,,,,,,,,,,,,,,,,,,,,,,,0.013343441356861,0.000013704958982
72,0,72,174,42.335479999999997,-71.044269999999997,0,200.000000000000000,114,,72,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351148128241,0.000013717885119
73,0,73,175,42.315420000000003,-71.056680000000000,0,200.000000000000000,115,,73,,,,,,,,,,,,,,,,,,,,,,,,,,0.013348578249536,0.000013713574650
74,0,74,176,42.350340000000003,-71.084699999999998,0,200.000000000000000,116,,74,,,,,,,,,,,,,,,,,,,,,,,,,,0.013353053299333,0.000013721080053
75,0,75,177,42.328170000000000,-71.097059999999999,0,200.000000000000000,117,,75,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350210757463,0.000013716312855
76,0,76,184,42.297120000000000,-71.132220000000004,0,200.000000000000000,122,,76,,,,,,,,,,,,,,,,,,,,,,,,,,0.013346236784306,0.000013709647685
77,1,77,186,42.283220000000000,-71.051940000000002,0,200.000000000000000,123,140,77,,,29 Rita Rd,,,,,,,,,,,,8070,St Brendan Elementary,Dorchester,BOSTON,MA,02124,Ida Ring,617-282-3388,--,"K,1,2,3,4,5,6,7,8",PRI,0.013344460007644,0.000013706667941
78,0,78,187,42.348779999999998,-71.134230000000002,0,200.000000000000000,124,,78,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352853114126,0.000013720743935
79,0,79,190,42.340930000000000,-71.077299999999994,0,200.000000000000000,125,,79,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351846381729,0.000013719055950
80,0,80,192,42.349170000000001,-71.092849999999999,0,200.000000000000000,126,,80,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352902852819,0.000013720827336
81,0,81,193,42.292999999999999,-71.094660000000005,0,200.000000000000000,127,,81,,,,,,,,,,,,,,,,,,,,,,,,,,0.013345709983107,0.000013708764002
82,2,82,198,42.307650000000002,-71.115499999999997,0,200.000000000000000,131,121,82,123,Agassiz Building,20 Child St,Jamaica Plain,02130,4285,4285,Mission Hill K-8,Mission Hill K-8,K-8,Shared, ,760615.274077999987639,2937144.856019999831915,,,,,,,,,,,,0.013347583923810,0.000013711907194
83,1,83,202,42.295079999999999,-71.093019999999996,0,200.000000000000000,133,163,83,,,150 American Legion Highway,,,,,,,,,,,,5451,Edward Brooke Charter School - Mattapan,Dorchester,BOSTON,MA,02124, , , , ,CHA,0.013345975827596,0.000013709210002
84,1,84,205,42.350499999999997,-71.068659999999994,0,200.000000000000000,135,129,84,0,Church Street Bldg,20 Church Street,Boston,02116,1215,1215,Boston Adult Tech Acad,BATA,Special, , ,772904.812814999953844,2952412.938420000020415,,,,,,,,,,,,0.013353073432328,0.000013721113789
85,2,85,209,42.343829999999997,-71.071860000000001,0,200.000000000000000,136,18,85,26,Mckinley Mackey Bldg,90 Warren Avenue,Boston,02116,1291,1291,McKinley Elementary,McKinley Elem,Special,Shared, ,771460.937914000009187,2950801.811980000231415,,,,,,,,,,,,0.013352218194209,0.000013719679264
86,0,86,210,42.306690000000003,-71.087410000000006,0,200.000000000000000,137,,86,,,,,,,,,,,,,,,,,,,,,,,,,,0.013347460815727,0.000013711700758
87,0,87,213,42.298299999999998,-71.115840000000006,0,200.000000000000000,139,,87,,,,,,,,,,,,,,,,,,,,,,,,,,0.013346388196247,0.000013709902150
88,0,88,215,42.294499999999999,-71.088139999999996,0,200.000000000000000,140,,88,,,,,,,,,,,,,,,,,,,,,,,,,,0.013345901731058,0.000013709085655
89,0,89,219,42.350009999999997,-71.106570000000005,0,200.000000000000000,143,,89,,,,,,,,,,,,,,,,,,,,,,,,,,0.013353010916964,0.000013721008845
90,0,90,221,42.337840000000000,-71.056960000000004,0,200.000000000000000,145,,90,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351450493512,0.000013718391933
91,1,91,227,42.290109999999999,-71.048460000000006,0,200.000000000000000,146,105,91,,,239 Neponset Avenue,,,,,,,,,,,,8065,Pope John Paul II Academy (Neponset),Dorchester,BOSTON,MA,02122,Kate Brandley,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI,0.013345340460628,0.000013708144583
92,0,92,228,42.310459999999999,-71.106999999999999,0,200.000000000000000,147,,92,,,,,,,,,,,,,,,,,,,,,,,,,,0.013347943421838,0.000013712510054
93,0,93,230,42.365470000000002,-71.064639999999997,0,200.000000000000000,148,,93,,,,,,,,,,,,,,,,,,,,,,,,,,0.013354994602617,0.000013724335509
94,0,94,231,42.358020000000003,-71.161879999999996,0,200.000000000000000,149,,94,,,,,,,,,,,,,,,,,,,,,,,,,,0.013354038060935,0.000013722731180
95,2,95,233,42.306649999999998,-71.115250000000003,0,200.000000000000000,150,121,95,123,Agassiz Building,20 Child St,Jamaica Plain,02130,4285,4285,Mission Hill K-8,Mission Hill K-8,K-8,Shared, ,760615.274077999987639,2937144.856019999831915,,,,,,,,,,,,0.013347455677813,0.000013711692104
96,1,96,234,42.287669999999999,-71.146510000000006,0,200.000000000000000,151,136,96,,,535 W Roxbury Pkwy,,,,,,,,,,,,8037,Holy Name Elementary,West Roxbury,BOSTON,MA,02132,Robert Arciero,617-325-9338,--,"PK,K,1,2,3,4,5,6,7,8",PRI,0.013345028522460,0.000013707621104
97,0,97,236,42.322580000000002,-71.098460000000003,0,200.000000000000000,153,,97,,,,,,,,,,,,,,,,,,,,,,,,,,0.013349495050059,0.000013715112297
98,0,98,239,42.372410000000002,-71.064949999999996,0,200.000000000000000,156,,98,,,,,,,,,,,,,,,,,,,,,,,,,,0.013355885669479,0.000013725829418
99,3,99,243,42.326110000000000,-71.105230000000006,0,200.000000000000000,159,79,99,111,Hennigan Bldg,200 Heath Street,Jamaica Plain,02130,4231,4231,West Zone ELC,West Zone ELC,ELC,Shared, ,762457.929921000031754,2944171.218520000111312,5300,Roxbury Prep - Mission Hill,Roxbury,BOSTON,MA,02120,Dana Lehman,617-566-2361,617-566-2373,"6,7,8",CHA,0.013349947011219,0.000013715870333
100,1,100,247,42.300809999999998,-71.127179999999996,0,200.000000000000000,162,127,100,,,1125 Centre Street,,,,,,,,,,,,00350749,Italian Home For Children,Jamaica Plain,BOSTON,MA,02130,Jane A Zopatti,617-524-3116,617-983-5372,"1,2,3,4,5,6,7,8",SPE,0.013346708748085,0.000013710439397
101,0,101,250,42.261620000000001,-71.122169999999997,0,200.000000000000000,163,,101,,,,,,,,,,,,,,,,,,,,,,,,,,0.013341701235236,0.000013702040102
102,0,102,251,42.324359999999999,-71.052300000000002,0,200.000000000000000,164,,102,,,,,,,,,,,,,,,,,,,,,,,,,,0.013349723581628,0.000013715495794
103,0,103,253,42.336250000000000,-71.053880000000007,0,200.000000000000000,165,,103,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351246358967,0.000013718049569
104,0,104,255,42.349080000000001,-71.049469999999999,0,200.000000000000000,166,,104,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352891128115,0.000013720807921
105,0,105,257,42.280909999999999,-71.092550000000003,0,200.000000000000000,167,,105,,,,,,,,,,,,,,,,,,,,,,,,,,0.013344164862223,0.000013706172671
106,0,106,258,42.338110000000000,-71.153310000000005,0,200.000000000000000,168,,106,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351484817115,0.000013718449598
107,0,107,259,42.331470000000003,-71.035259999999994,0,200.000000000000000,169,,107,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350633844357,0.000013717022471
108,0,108,262,42.317030000000003,-71.104879999999994,0,200.000000000000000,170,,108,,,,,,,,,,,,,,,,,,,,,,,,,,0.013348784040198,0.000013713919983
109,0,109,269,42.285989999999998,-71.147779999999997,0,200.000000000000000,174,,109,,,,,,,,,,,,,,,,,,,,,,,,,,0.013344814081202,0.000013707261705
110,1,110,270,42.279550000000000,-71.135540000000006,0,200.000000000000000,175,90,110,126,Bates Bldg,426 Beech Street,Roslindale,02131,4081,4081,Bates Elementary,Bates,ES, , ,754855.145098999957554,2926454.132149999961257,,,,,,,,,,,,0.013343991230833,0.000013705881577
111,0,111,276,42.309680000000000,-71.115480000000005,0,200.000000000000000,179,,111,,,,,,,,,,,,,,,,,,,,,,,,,,0.013347843657260,0.000013712342833
112,1,112,278,42.318579999999997,-71.116470000000007,0,200.000000000000000,181,87,112,121,"Curley, J.  Bldg",40 Pershing Road,Jamaica Plain,02130,4272,4272,Curley K-8 (Lower),Curley K-8 (Lower),K-8, , ,760501.000016000005417,2941390.000000000000000,,,,,,,,,,,,0.013348982536564,0.000013714252799
113,0,113,282,42.340089999999996,-71.161180000000002,0,200.000000000000000,185,,113,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351738949349,0.000013718875772
114,1,114,284,42.355469999999997,-71.072460000000007,0,200.000000000000000,187,132,114,,,67 Brimmer Street,,,,,,,,,,,,00350805,Park Street School,Boston,BOSTON,MA,02108,Tracy Bradley,617-523-7577,617-523-7576,"K,1,2,3,4,7",PRI,0.013353710911790,0.000013722182463
115,0,115,285,42.332059999999998,-71.079350000000005,0,200.000000000000000,188,,115,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350709221804,0.000013717148854
116,0,116,286,42.300330000000002,-71.066230000000004,0,200.000000000000000,189,,116,,,,,,,,,,,,,,,,,,,,,,,,,,0.013346647305932,0.000013710336149
117,2,117,288,42.351469999999999,-71.080460000000002,0,200.000000000000000,191,112,117,,,247 Marlborough Street,,,,,,,,,,,,00350794,The Newman School,Boston,BOSTON,MA,02116,John Colahan,617-267-4530,617-267-7070,"9,10,11,12",PRI,0.013353198217910,0.000013721322978
118,1,118,289,42.318249999999999,-71.101249999999993,0,200.000000000000000,192,77,118,109,Mendell Bldg,164 School Street,Roxbury,02119,4370,4370,Mendell Elementary,Mendell,ES, , ,763914.501298999995925,2940630.627739999908954,,,,,,,,,,,,0.013348940754749,0.000013714182813
119,0,119,291,42.335830000000001,-71.107460000000003,0,200.000000000000000,194,,119,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351193102016,0.000013717960523
120,1,120,301,42.292810000000003,-71.050659999999993,0,200.000000000000000,198,50,120,70,Murphy Bldg,1 Worrell Street,Dorchester,02122,4400,4400,Murphy K-8,Murphy K-8,K-8, , ,778133.906431999988854,2932555.616700000129640,,,,,,,,,,,,0.013345685846386,0.000013708723712
121,0,121,304,42.343750000000000,-71.142880000000005,0,200.000000000000000,201,,121,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352207798372,0.000013719661870
122,1,122,306,42.285480000000000,-71.080399999999997,0,200.000000000000000,202,154,122,,,33 Stanton Street,,,,,,,,,,,,00350872,St Matthew Elementary,Dorchester,BOSTON,MA,02124,Mary Lanata,617-825-7955,--,"PK,K,1,2,3,4,5,6,7,8",PRI,0.013344748492456,0.000013707151702
123,0,123,315,42.316969999999998,-71.039699999999996,0,200.000000000000000,207,,123,,,,,,,,,,,,,,,,,,,,,,,,,,0.013348776407084,0.000013713907010
124,0,124,317,42.282339999999998,-71.099630000000005,0,200.000000000000000,208,,124,,,,,,,,,,,,,,,,,,,,,,,,,,0.013344347913740,0.000013706479993
125,0,125,318,42.337780000000002,-71.105140000000006,0,200.000000000000000,209,,125,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351442597151,0.000013718378571
126,1,126,321,42.318269999999998,-71.090999999999994,0,200.000000000000000,212,127,126,52,Higginson Bldg,160 Harrishof Street,Roxbury,02119,4241,4241,Higginson Elementary (K1-2),Higginson (K1-2),ES, , ,766503.829431000049226,2941044.290289999917150,,,,,,,,,,,,0.013348942850508,0.000013714186498
127,0,127,323,42.355440000000002,-71.146240000000006,0,200.000000000000000,213,,127,,,,,,,,,,,,,,,,,,,,,,,,,,0.013353707225381,0.000013722176751
128,0,128,324,42.339660000000002,-71.074600000000004,0,200.000000000000000,214,,128,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351683383322,0.000013718782550
129,0,129,325,42.343190000000000,-71.078530000000001,0,200.000000000000000,215,,129,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352136100481,0.000013719541819
130,0,130,329,42.312600000000003,-71.122169999999997,0,200.000000000000000,217,,130,,,,,,,,,,,,,,,,,,,,,,,,,,0.013348217240157,0.000013712969391
131,0,131,331,42.356980000000000,-71.152289999999994,0,200.000000000000000,219,,131,,,,,,,,,,,,,,,,,,,,,,,,,,0.013353904698662,0.000013722507495
132,1,132,336,42.341020000000000,-71.035589999999999,0,200.000000000000000,223,973,132,,,7 Elkins Street,,,,,,,,,,,,5492,Excel Academy Charter High School,South Boston,BOSTON,MA,02127,Nina Keough,617-874-4143,--,"9, 10, 11, 12",CHA,0.013351858050012,0.000013719075580
133,0,133,337,42.330520000000000,-71.070030000000003,0,200.000000000000000,224,,133,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350512093226,0.000013716818048
134,0,134,338,42.332850000000001,-71.074359999999999,0,200.000000000000000,225,,134,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350810509523,0.000013717318520
135,1,135,341,42.277799999999999,-71.091049999999996,0,200.000000000000000,227,56,135,77,Mildred Avenue Bldg,5 Mildred Avenue,Mattapan,02126,4671,4671,Mildred Avenue K-8,Mildred Ave K-8,K-8, , ,767008.111766000045463,2926141.952399999834597,,,,,,,,,,,,0.013343767448290,0.000013705505478
136,0,136,344,42.324019999999997,-71.082780000000000,0,200.000000000000000,229,,136,,,,,,,,,,,,,,,,,,,,,,,,,,0.013349679299737,0.000013715421224
137,0,137,348,42.341600000000000,-71.057130000000001,0,200.000000000000000,230,,137,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351932341638,0.000013719200151
138,0,138,351,42.337960000000002,-71.108310000000003,0,200.000000000000000,232,,138,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351465538875,0.000013718417149
