OBJECTID,Join_Count,TARGET_FID,Row_Labels,Average_of,Average__1,comm,ind,BUFF_DIST,ORIG_FID,OBJECTID_1,AUN,SCHOOL_NUM,LOCATION_I,SCHOOL_NAM,SCHOOL_N_1,STREET_ADD,ZIP_CODE,PHONE_NUMB,ACTIVE,GRADE_LEVE,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECI,Shape_Length,Shape_Area
343,0,343,513,39.950319999999998,-75.191689999999994,0,0,400.000000000000000,342,343,,,,,,,,,,,,,,,0.026130945016227,0.000052957845438
344,1,344,514,39.930740000000000,-75.180099999999996,0,0,400.000000000000000,343,344,126515001,3629,2370,"MCDANIEL, DELAPLAINE SCHOOL",Delaplaine McDaniel School,1801 S 22ND ST,19145,215-400-8220, ,ELEMENTARYMIDDLE,K-8,377,1,District,0.026126534931598,0.000052942932665
345,2,345,515,39.961539999999999,-75.197059999999993,0,0,400.000000000000000,344,345,126515001,3783,1390,"POWEL, SAMUEL SCHOOL",Samuel Powel School,301 N 36TH ST,19104,215-400-7740, ,ELEMENTARY,K-04,244,1,District,0.026133473967930,0.000052966396479
346,1,346,517,39.947560000000003,-75.159220000000005,1,0,400.000000000000000,345,346,300518760, , ,Student Education Center Delaware Valley High School CC,Student Ed Ctr DVHS,204-06 S 13TH ST,19107,(215) 732-5060,O,High School,9-12, ,3,Private,0.026130322829368,0.000052955741610
347,0,347,518,39.974330000000002,-75.194800000000001,0,0,400.000000000000000,346,347,,,,,,,,,,,,,,,0.026136359047378,0.000052976152020
348,0,348,520,39.941580000000002,-75.142250000000004,1,0,400.000000000000000,347,348,,,,,,,,,,,,,,,0.026128975867712,0.000052951186716
349,2,349,521,39.956730000000000,-75.223540000000000,1,0,400.000000000000000,348,349,226510695, , ,Beulah Baptist Christian Day School,Beulah Baptist Christian Day Sch,5001 Spruce St,19139,(215) 747-3347,O,Elem/Middle,K-8, ,3,Private,0.026132389634117,0.000052962730094
350,0,350,523,39.951239999999999,-75.198960000000000,0,0,400.000000000000000,349,350,,,,,,,,,,,,,,,0.026131152131781,0.000052958545819
351,1,351,524,39.975610000000003,-75.262810000000002,0,0,400.000000000000000,350,351,126515001,7810,4320,"LAMBERTON,ROBERT E ELEMENTARY",Robert E. Lamberton School,7501 WOODBINE AVE,19151,215-400-7530, ,ELEMENTARYMIDDLE,K-8,502,1,District,0.026136647921343,0.000052977128528
352,5,352,525,39.919390000000000,-75.170779999999993,0,0,400.000000000000000,351,352,226519022, , ,St Monica Senior School,St Monica Sr,2500 S 16TH ST,19145,(215) 467-5338,O,Elem/Middle,6-8, ,3,Archdiocese,0.026123980551767,0.000052934294647
353,2,353,527,39.946550000000002,-75.173069999999996,0,0,400.000000000000000,352,353,226511132, , ,The City School,The City School,910 N 6th St,19103,(215) 731-1930,O,Middle/High,6-12, ,3,Private,0.026130095367647,0.000052954972454
354,2,354,529,39.950200000000002,-75.158640000000005,1,0,400.000000000000000,353,354,300518760, , ,Student Education Center Delaware Valley High School CC,Student Ed Ctr DVHS,204-06 S 13TH ST,19107,(215) 732-5060,O,High School,9-12, ,3,Private,0.026130917603957,0.000052957752897
355,2,355,530,39.917180000000002,-75.246309999999994,0,1,400.000000000000000,354,355,126510016,7828,3378,PHILADELPHIA MONTESSORI,Philadelphia Montessori Charter School,2227 ISLAND AVE,19142,215-365-4011, ,Elementary School,K-6, ,2,Charter,0.026123483365915,0.000052932613013
356,0,356,531,39.954580000000000,-75.181229999999999,1,1,400.000000000000000,355,356,,,,,,,,,,,,,,,0.026131904757801,0.000052961090435
357,0,357,532,39.957599999999999,-75.189070000000001,1,0,400.000000000000000,356,357,,,,,,,,,,,,,,,0.026132585655009,0.000052963392784
358,1,358,533,39.959890000000001,-75.175389999999993,0,0,400.000000000000000,357,358,226519494, , ,Kumon Math and Reading Philadelphia,Kumon Math and Reading Philadelphia,238 N 22nd St,19103,215-564-6284, , , , ,3,Private,0.026133101998468,0.000052965138809
359,0,359,535,39.903449999999999,-75.158429999999996,0,1,400.000000000000000,358,359,,,,,,,,,,,,,,,0.026120396304876,0.000052922173481
360,2,360,536,39.944830000000003,-75.175060000000002,0,0,400.000000000000000,359,360,226510071, , ,Philadelphia Free School,Phila Free School,2001 Christian St,19146,(215)218-9586,O,Elem/Mid/High,pre K-12, ,3,Private,0.026129707905751,0.000052953662323
361,3,361,537,39.949820000000003,-75.155490000000000,1,0,400.000000000000000,360,361,0, , ,Freire Charter School,Freire Charter School,1026 Market St,19107,(267) 670-7499, ,Middle School,5-8, ,2,Charter,0.026130832298149,0.000052957464468
362,1,362,539,39.948749999999997,-75.179000000000002,0,0,400.000000000000000,361,362,226515462, , ,Philadelphia School,Phila School,2501-29 LOMBARD ST,19146,(215) 545-5323,O,Elem/Middle,pre K-8, ,3,Private,0.026130591144207,0.000052956648460
363,0,363,545,39.978569999999998,-75.114769999999993,0,1,400.000000000000000,362,363,,,,,,,,,,,,,,,0.026137315462463,0.000052979385097
364,1,364,546,39.932929999999999,-75.167820000000006,0,0,400.000000000000000,363,364,126515001,3622,2260,"CHILDS, GEORGE W. SCHOOL",George W. Childs School,1599 WHARTON ST,19146,215-400-7950, ,ELEMENTARYMIDDLE,K-8,530,1,District,0.026127028033103,0.000052944600447
365,0,365,547,39.953620000000001,-75.198459999999997,1,0,400.000000000000000,364,365,,,,,,,,,,,,,,,0.026131688816565,0.000052960360739
366,2,366,548,39.941220000000001,-75.175839999999994,0,0,400.000000000000000,365,366,226510071, , ,Philadelphia Free School,Phila Free School,2001 Christian St,19146,(215)218-9586,O,Elem/Mid/High,pre K-12, ,3,Private,0.026128894698259,0.000052950912168
367,1,367,549,39.942790000000002,-75.158640000000005,0,0,400.000000000000000,366,367,300511820, , ,Beginnings Learning Center,Beginnings Learning Ctr,620 S 10TH ST,19147,(215) 627-3668,O,Pre-K,pre K-K, ,3,Private,0.026129248425814,0.000052952108862
368,2,368,551,39.957259999999998,-75.152240000000006,1,0,400.000000000000000,367,368,226512352, , ,Holy Redeemer School,Holy Redeemer School,903-27 VINE ST,19107,215-922-0999,O,Elem/Middle,K-8, ,3,Archdiocese,0.026132509085094,0.000052963134237
369,2,369,552,39.936380000000000,-75.153589999999994,0,0,400.000000000000000,368,369,126515001,3650,2590,"NEBINGER, GEORGE W. SCHOOL",George W. Nebinger School,601 CARPENTER ST,19147,215-400-8110, ,ELEMENTARYMIDDLE,K-8,468,1,District,0.026127804479534,0.000052947226131
370,1,370,553,39.950139999999998,-75.170659999999998,1,0,400.000000000000000,369,370,226511132, , ,The City School,The City School,910 N 6th St,19103,(215) 731-1930,O,Middle/High,6-12, ,3,Private,0.026130904143634,0.000052957707387
371,0,371,555,39.923009999999998,-75.188659999999999,0,1,400.000000000000000,370,371,,,,,,,,,,,,,,,0.026124795101664,0.000052937049031
372,0,372,556,39.975180000000002,-75.188599999999994,0,0,400.000000000000000,371,372,,,,,,,,,,,,,,,0.026136550878374,0.000052976800682
373,0,373,558,39.960360000000001,-75.138890000000004,1,0,400.000000000000000,372,373,,,,,,,,,,,,,,,0.026133208087040,0.000052965497883
374,2,374,560,39.929560000000002,-75.190470000000005,0,0,400.000000000000000,373,374,226510050, , ,Miracle Temple Christian Academy,Miracle Temple Christian Acad,2600 TASKER ST,19145,(215) 755-3680,O,Ungraded,Ungraded, ,3,Private,0.026126269503611,0.000052942035441
375,1,375,561,40.036070000000002,-75.087860000000006,0,1,400.000000000000000,374,375,126515001,3816,7120,"FELS, SAMUEL HIGH SCHOOL",Samuel Fels High School,5500 LANGDON ST,19124,215-400-7100, ,HIGH,9-12,951,1,District,0.026150312732623,0.000053023326250
376,0,376,562,39.921199999999999,-75.193839999999994,0,1,400.000000000000000,375,376,,,,,,,,,,,,,,,0.026124387827876,0.000052935671583
377,1,377,563,39.913530000000002,-75.239630000000005,0,0,400.000000000000000,376,377,126515001,3613,1400,"PATTERSON, JOHN M. SCHOOL",John M. Patterson School,7000 BUIST AVE,19142,215-400-8190, ,ELEMENTARY,K-04,506,1,District,0.026122662590930,0.000052929837738
378,4,378,564,39.938389999999998,-75.161220000000000,0,1,400.000000000000000,377,378,126515001,7904,2620,ACADEMY AT PALUMBO,Academy at Palumbo,1100 CATHARINE ST,19147,215-400-8130, ,HIGH,9-12,1060,1,District,0.026128257250567,0.000052948756696
379,2,379,565,39.993079999999999,-75.147890000000004,0,0,400.000000000000000,378,379,326510060, , ,Hope Partnership for Education,Hope Partnership for Education,2601 N 11th St,19133,215-232-5410,O,Middle/High,5-8, ,3,Private,0.026140591866815,0.000052990463123
380,3,380,566,39.941020000000002,-75.167810000000003,0,0,400.000000000000000,379,380,126515001,6996,2020,CREATIVE AND PERFORMING ARTS,High School for Creative and Performing Arts School,901 S BROAD ST,19147,215-400-8140, ,HIGH,09-12,747,1,District,0.026128849570781,0.000052950759950
381,0,381,567,39.951799999999999,-75.182710000000000,1,0,400.000000000000000,380,381,,,,,,,,,,,,,,,0.026131278250150,0.000052958972082
382,1,382,568,39.914839999999998,-75.155980000000000,1,0,400.000000000000000,381,382,126515001,3657,2690,"TAGGART, JOHN H. SCHOOL",John H. Taggart School,400 W PORTER ST,19148,215-400-8290, ,ELEMENTARYMIDDLE,K-8,451,1,District,0.026122956863087,0.000052930832469
383,2,383,569,39.984760000000001,-75.116669999999999,0,1,400.000000000000000,382,383,126519392,8257,3423,MEMPHIS ST. CHARTER @ JP JONES,Memphis Street Academy Charter School at J.P. Jones,2950 MEMPHIS ST,19134,215-291-4709, ,Middle School,5-8, ,2,Charter,0.026138712914447,0.000052984110039
384,0,384,570,39.894629999999999,-75.236710000000002,0,1,400.000000000000000,383,384,,,,,,,,,,,,,,,0.026118413985175,0.000052915469183
385,1,385,571,39.952570000000001,-75.156509999999997,1,0,400.000000000000000,384,385,0, , ,Freire Charter School,Freire Charter School,1026 Market St,19107,(267) 670-7499, ,Middle School,5-8, ,2,Charter,0.026131451835366,0.000052959558951
386,1,386,572,39.962719999999997,-75.246570000000006,0,0,400.000000000000000,385,386,226512872, , ,Kids World Christian Education Center- West Philadelphia,Kids World Christian Ed Ctr- West Phila,100-04 S 61ST ST,19139,215-474-1484,O,Elementary School,pre K-4, ,3,Private,0.026133739843067,0.000052967295349
387,5,387,573,39.958080000000002,-75.162360000000007,1,0,400.000000000000000,386,387,0, , ,Philadelphia Performing Arts Charter School,Philadelphia Performing Arts Charter School,1600 Vine St,19102,(267) 428-2224, ,Middle/High,5-12, ,2,Charter,0.026132693981177,0.000052963759633
388,4,388,574,39.916829999999997,-75.171350000000004,0,0,400.000000000000000,387,388,226519022, , ,St Monica Senior School,St Monica Sr,2500 S 16TH ST,19145,(215) 467-5338,O,Elem/Middle,6-8, ,3,Archdiocese,0.026123404875180,0.000052932348305
389,1,389,575,39.958120000000001,-75.150459999999995,0,0,400.000000000000000,388,389,226512352, , ,Holy Redeemer School,Holy Redeemer School,903-27 VINE ST,19107,215-922-0999,O,Elem/Middle,K-8, ,3,Archdiocese,0.026132703019328,0.000052963790182
390,0,390,576,39.962960000000002,-75.202219999999997,0,0,400.000000000000000,389,390,,,,,,,,,,,,,,,0.026133793964879,0.000052967478908
391,3,391,577,39.960450000000002,-75.241079999999997,0,0,400.000000000000000,390,391,226512872, , ,Kids World Christian Education Center- West Philadelphia,Kids World Christian Ed Ctr- West Phila,100-04 S 61ST ST,19139,215-474-1484,O,Elementary School,pre K-4, ,3,Private,0.026133228358524,0.000052965566269
392,1,392,582,40.027780000000000,-75.098590000000002,0,0,400.000000000000000,391,392,0, ,3290,EXCEL ACADEMY SOUTH,Excel Academy South,4641 ROOSEVELT BLVD,19124,215-904-6254, ,High School,9-12, ,1,Contracted,0.026148436568469,0.000053016983977
393,0,393,583,39.924050000000001,-75.143490000000000,1,1,400.000000000000000,392,393,,,,,,,,,,,,,,,0.026125029154068,0.000052937840528
394,4,394,584,39.954900000000002,-75.208770000000001,0,0,400.000000000000000,393,394,226519902, , ,West Catholic Preparatory High School,West Phila Cath HS,4501-17 CHESTNUT ST,19139,(215)386-2244,O,High School,9-12, ,3,Archdiocese,0.026131977074139,0.000052961335254
395,5,395,585,39.938170000000000,-75.154790000000006,0,0,400.000000000000000,394,395,0, ,3369,Christopher Columbus Charter School (Annex),Christopher Columbus CS (Annex),1242 S 13th St,19147,215-925-7400,O,Elementary School,5-8, ,2,Charter,0.026128208043012,0.000052948590303
396,1,396,586,40.028970000000001,-75.100399999999993,0,0,400.000000000000000,395,396,0, ,3290,EXCEL ACADEMY SOUTH,Excel Academy South,4641 ROOSEVELT BLVD,19124,215-904-6254, ,High School,9-12, ,1,Contracted,0.026148705736506,0.000053017894170
397,1,397,587,39.939880000000002,-75.183149999999998,0,1,400.000000000000000,396,397,226511235, , ,Crooked Places Made Straight,Crooked Places Made Straight,2617 Washington Ave,19146,(215) 339-5007,O,Elem/Mid/High,K-12, ,3,Private,0.026128592775292,0.000052949891151
398,1,398,588,39.951659999999997,-75.165480000000002,1,0,400.000000000000000,397,398,126510009,7737,3358,PHILADELPHIA ELECTRICAL AND,Philadelphia Electrical and Technology Charter School,1420 CHESTNUT ST,19102,267-514-1823, ,High School,9-12, ,2,Charter,0.026131246826910,0.000052958865965
399,2,399,589,39.933439999999997,-75.191239999999993,1,0,400.000000000000000,398,399,226517702, , ,St Gabriel School,St Gabriel School,1432 S  29TH ST,19146,215-468-7230,O,Elem/Middle,pre K-8, ,3,Archdiocese,0.026127142869349,0.000052944988336
400,4,400,592,39.928150000000002,-75.160210000000006,1,0,400.000000000000000,399,400,226518692, , ,SS John Neumann and Maria Goretti Catholic High School,SS John Neumann & Maria Goretti Catholic HS,1736 S 10TH ST,19148,(215) 465-8437,O,High School,9-12, ,3,Archdiocese,0.026125952071519,0.000052940961788
401,1,401,593,39.959190000000000,-75.243369999999999,0,0,400.000000000000000,400,401,226512872, , ,Kids World Christian Education Center- West Philadelphia,Kids World Christian Ed Ctr- West Phila,100-04 S 61ST ST,19139,215-474-1484,O,Elementary School,pre K-4, ,3,Private,0.026132944171400,0.000052964605205
402,1,402,594,39.961260000000003,-75.234740000000002,1,0,400.000000000000000,401,402,226510039, , ,63rd St Multicultural Academy of Academic Excellence,63rd St Multicultural Academy of Academic Excellence,5828 Market St,19131,(215) 240-6721, ,Elem/Mid/High,Pre K-12, ,3,Private,0.026133410864186,0.000052966183215
403,1,403,595,40.025820000000003,-75.122129999999999,1,0,400.000000000000000,402,403,126513452,8205,3414,ASPIRA OLNEY CHARTER HIGH,Aspira Charter School at Olney,100 W DUNCANNON AVE,19120,215-456-3014, ,High School,9-12, ,2,Charter,0.026147992868548,0.000053015483986
404,1,404,596,39.961430000000000,-75.149829999999994,0,0,400.000000000000000,403,404,126515001,3645,5480,"KEARNY, GEN. PHILIP SCHOOL",General Philip Kearny School,601 FAIRMOUNT AVE,19123,215-400-7590, ,ELEMENTARYMIDDLE,K-8,294,1,District,0.026133449209684,0.000052966312817
405,3,405,597,39.937800000000003,-75.153499999999994,0,0,400.000000000000000,404,405,126515001,3649,2380,"MEREDITH, WILLIAM M. SCHOOL",William M. Meredith School,725 S 5TH ST,19147,215-400-7990, ,ELEMENTARYMIDDLE,K-8,573,1,District,0.026128124462074,0.000052948307791
406,1,406,598,39.970579999999998,-75.152580000000000,0,0,400.000000000000000,405,406,226518662, , ,St Malachy School,St Malachy School,1415 N 11th St,19122,(215) 232-0696,O,Elem/Middle,K-8, ,3,Archdiocese,0.026135512804061,0.000052973290430
407,2,407,599,39.921630000000000,-75.148340000000005,1,0,400.000000000000000,406,407,126515001,3818,2160,"FURNESS, HORACE HIGH SCHOOL",Furness High School,1900 S 3RD ST,19148,215-400-8300, ,HIGH,09-12,657,1,District,0.026124484455721,0.000052935998824
408,0,408,600,39.924129999999998,-75.245480000000001,0,0,400.000000000000000,407,408,,,,,,,,,,,,,,,0.026125046802395,0.000052937899867
409,4,409,602,39.946089999999998,-75.242059999999995,0,0,400.000000000000000,408,409,126515001,3804,1460,"ANDERSON, ADD B. SCHOOL",Add B. Anderson School,1034 S 60TH ST,19143,215-400-7890, ,ELEMENTARYMIDDLE,K-08,481,1,District,0.026129991658920,0.000052954621773
410,4,410,603,39.942509999999999,-75.163539999999998,0,0,400.000000000000000,409,410,300511820, , ,Beginnings Learning Center,Beginnings Learning Ctr,620 S 10TH ST,19147,(215) 627-3668,O,Pre-K,pre K-K, ,3,Private,0.026129185145872,0.000052951894316
411,1,411,606,39.930979999999998,-75.191770000000005,0,0,400.000000000000000,410,411,226510050, , ,Miracle Temple Christian Academy,Miracle Temple Christian Acad,2600 TASKER ST,19145,(215) 755-3680,O,Ungraded,Ungraded, ,3,Private,0.026126588803644,0.000052943114891
412,2,412,608,39.945059999999998,-75.168530000000004,0,0,400.000000000000000,411,412,226511132, , ,The City School,The City School,910 N 6th St,19103,(215) 731-1930,O,Middle/High,6-12, ,3,Private,0.026129759812958,0.000052953837873
413,0,413,609,39.963110000000000,-75.179119999999998,0,0,400.000000000000000,412,413,,,,,,,,,,,,,,,0.026133828109156,0.000052967594201
414,3,414,610,39.944049999999997,-75.168750000000003,0,0,400.000000000000000,413,414,226511132, , ,The City School,The City School,910 N 6th St,19103,(215) 731-1930,O,Middle/High,6-12, ,3,Private,0.026129532143333,0.000052953067644
415,1,415,612,39.947980000000001,-75.172759999999997,0,0,400.000000000000000,414,415,226511132, , ,The City School,The City School,910 N 6th St,19103,(215) 731-1930,O,Middle/High,6-12, ,3,Private,0.026130417462142,0.000052956061181
416,2,416,614,39.949629999999999,-75.160409999999999,1,0,400.000000000000000,415,416,300518760, , ,Student Education Center Delaware Valley High School CC,Student Ed Ctr DVHS,204-06 S 13TH ST,19107,(215) 732-5060,O,High School,9-12, ,3,Private,0.026130789266357,0.000052957318672
417,1,417,616,39.944310000000002,-75.155079999999998,0,0,400.000000000000000,416,417,126515001,3648,2340,"MC CALL, GEN. GEORGE A. SCHOOL",General George A. McCall School,325 S 7TH ST,19106,215-400-7840, ,ELEMENTARYMIDDLE,K-8,711,1,District,0.026129591139108,0.000052953267742
418,3,418,617,39.957870000000000,-75.175830000000005,0,0,400.000000000000000,417,418,300513960, , ,Greene Towne School Inc,Greene Towne School Inc.,2119-21 ARCH ST,19103,215-563-6368,O,Kindergarten,pre K-K, ,3,Private,0.026132646467207,0.000052963598912
419,1,419,618,39.946849999999998,-75.144409999999993,1,0,400.000000000000000,418,419,126510002,7678,3361,MASTERY CHARTER-LENFEST CAMPUS,Mastery Charter School at Lenfest,35 S 4TH ST,19106,215-922-1902, ,Middle/High,7-12, ,2,Charter,0.026130162926290,0.000052955200904
420,3,420,621,39.938850000000002,-75.174750000000003,0,1,400.000000000000000,419,420,226510071, , ,Philadelphia Free School,Phila Free School,2001 Christian St,19146,(215)218-9586,O,Elem/Mid/High,pre K-12, ,3,Private,0.026128360670979,0.000052949106393
421,1,421,624,39.951270000000001,-75.167180000000002,1,0,400.000000000000000,420,421,126510009,7737,3358,PHILADELPHIA ELECTRICAL AND,Philadelphia Electrical and Technology Charter School,1420 CHESTNUT ST,19102,267-514-1823, ,High School,9-12, ,2,Charter,0.026131158723644,0.000052958567871
422,1,422,625,39.944659999999999,-75.180779999999999,0,0,400.000000000000000,421,422,226515462, , ,Philadelphia School,Phila School,2501-29 LOMBARD ST,19146,(215) 545-5323,O,Elem/Middle,pre K-8, ,3,Private,0.026129669558687,0.000052953532531
423,1,423,627,39.934289999999997,-75.158869999999993,0,0,400.000000000000000,422,423,126515001,3642,2510,"JACKSON, ANDREW SCHOOL",Andrew Jackson School,1213 S 12TH ST,19147,215-400-7970, ,ELEMENTARYMIDDLE,K-8,588,1,District,0.026127334104885,0.000052945635092
424,0,424,628,39.939120000000003,-75.191659999999999,0,1,400.000000000000000,423,424,,,,,,,,,,,,,,,0.026128421734584,0.000052949312492
425,1,425,629,39.997250000000001,-75.119330000000005,0,0,400.000000000000000,424,425,126515001,3688,5260,"ELKIN, LEWIS SCHOOL",Lewis Elkin School,3199 D ST,19134,215-400-7140, ,ELEMENTARY,K-4,778,1,District,0.026141533621005,0.000052993646802
426,5,426,631,39.957259999999998,-75.215310000000002,0,0,400.000000000000000,425,426,226519902, , ,West Catholic Preparatory High School,West Phila Cath HS,4501-17 CHESTNUT ST,19139,(215)386-2244,O,High School,9-12, ,3,Archdiocese,0.026132509176178,0.000052963134498
427,1,427,632,39.952759999999998,-75.149929999999998,1,0,400.000000000000000,426,427,126515001,7905,2670,CONSTITUTION HIGH SCHOOL,Constitution High School,18 S 7TH ST,19106,215-400-7850, ,HIGH,9-12,385,1,District,0.026131494758188,0.000052959704361
428,0,428,635,39.936489999999999,-75.148690000000002,0,0,400.000000000000000,427,428,,,,,,,,,,,,,,,0.026127829366688,0.000052947309970
429,3,429,638,39.958860000000001,-75.217050000000000,0,0,400.000000000000000,428,429,226514112, , ,Mill Creek School,Mill Creek Sch,111 N 49TH ST,19139,215-471-4900 ,O,High School,7-12, ,3,Private,0.026132869603216,0.000052964353173
430,2,430,640,39.976579999999998,-75.152879999999996,0,0,400.000000000000000,429,430,226518662, , ,St Malachy School,St Malachy School,1415 N 11th St,19122,(215) 232-0696,O,Elem/Middle,K-8, ,3,Archdiocese,0.026136866855537,0.000052977869336
431,1,431,641,39.932020000000001,-75.160910000000001,1,0,400.000000000000000,430,431,126515001,3642,2510,"JACKSON, ANDREW SCHOOL",Andrew Jackson School,1213 S 12TH ST,19147,215-400-7970, ,ELEMENTARYMIDDLE,K-8,588,1,District,0.026126823105231,0.000052943906922
432,2,432,643,39.952530000000003,-75.170150000000007,1,0,400.000000000000000,431,432,126510001,7677,3360,RUSSELL BYERS CHARTER SCHOOL,Russell Byers Charter School,1911 ARCH ST,19103,215-972-1700, ,Elem/Middle,K-8, ,2,Charter,0.026131442604898,0.000052959527796
433,2,433,644,39.948210000000003,-75.164510000000007,1,0,400.000000000000000,432,433,300518760, , ,Student Education Center Delaware Valley High School CC,Student Ed Ctr DVHS,204-06 S 13TH ST,19107,(215) 732-5060,O,High School,9-12, ,3,Private,0.026130469283038,0.000052956236447
434,1,434,645,39.959919999999997,-75.222870000000000,1,0,400.000000000000000,433,434,126515001,3860,1020,WEST PHILADELPHIA HIGH SCHOOL,West Philadelphia High School,4901 CHESTNUT ST,19139,215-400-7900, ,HIGH,9-12,448,1,District,0.026133108567380,0.000052965161177
435,2,435,646,39.972830000000002,-75.146079999999998,0,0,400.000000000000000,434,435,226519142, , ,St Peter the Apostle School,St Peter the Apostle Sch,1009 N 5th St,19123,(215) 922-5958,O,Elem/Middle,pre K-8, ,3,Archdiocese,0.026136020772916,0.000052975008237
436,0,436,647,39.945110000000000,-75.141930000000002,1,0,400.000000000000000,435,436,,,,,,,,,,,,,,,0.026129771020074,0.000052953875444
437,5,437,648,39.963250000000002,-75.167820000000006,0,0,400.000000000000000,436,437,226512852, , ,John W Hallahan Girls School,John W Hallahan Girls Sch,319 N 19TH ST,19103,(215) 563-8930,O,High School,9-12, ,3,Archdiocese,0.026133859405663,0.000052967699778
438,2,438,651,39.951639999999998,-75.163870000000003,1,0,400.000000000000000,437,438,300518760, , ,Student Education Center Delaware Valley High School CC,Student Ed Ctr DVHS,204-06 S 13TH ST,19107,(215) 732-5060,O,High School,9-12, ,3,Private,0.026131242384243,0.000052958851076
439,1,439,652,39.953749999999999,-75.157870000000003,1,0,400.000000000000000,438,439,0, , ,Freire Charter School,Freire Charter School,1026 Market St,19107,(267) 670-7499, ,Middle School,5-8, ,2,Charter,0.026131717742117,0.000052960458230
440,2,440,653,39.961329999999997,-75.236840000000001,0,1,400.000000000000000,439,440,126515001,8029,1200,"BARRY, JOHN ELEMENTARY SCHOOL",John Barry School,5900 RACE ST,19139,215-400-7640, ,ELEMENTARYMIDDLE,K-8,654,1,District,0.026133426596598,0.000052966236593
441,0,441,654,40.030600000000000,-75.187569999999994,0,0,400.000000000000000,440,441,,,,,,,,,,,,,,,0.026149074714399,0.000053019141753
442,1,442,655,40.034329999999997,-75.071370000000002,1,0,400.000000000000000,441,442,126515001,7234,8350,"SPRUANCE, GILBERT SCHOOL",Gilbert Spruance School,6401 HORROCKS ST,19149,215-400-3290, ,ELEMENTARYMIDDLE,K-8,1387,1,District,0.026149918655115,0.000053021993848
443,3,443,657,39.938519999999997,-75.151499999999999,0,0,400.000000000000000,442,443,126515001,3649,2380,"MEREDITH, WILLIAM M. SCHOOL",William M. Meredith School,725 S 5TH ST,19147,215-400-7990, ,ELEMENTARYMIDDLE,K-8,573,1,District,0.026128286767453,0.000052948856969
444,2,444,659,39.925500000000000,-75.188119999999998,0,1,400.000000000000000,443,444,126512960,7540,3313,PREPARATORY CHARTER SCHOOL,"Preparatory Charter School of Mathematics, Science, Technology and Careers",1928 POINT BREEZE AVE,19145,215-334-6144, ,High School,9-12, ,2,Charter,0.026125355206600,0.000052938943089
445,8,445,661,39.962409999999998,-75.161420000000007,1,0,400.000000000000000,444,445,126515001,6822,2290,FRANKLIN LEARNING CENTER,Franklin Learning Center,616 N 15TH ST,19130,215-400-7570, ,HIGH,09-12,915,1,District,0.026133670386191,0.000052967060904
446,1,446,665,39.948729999999998,-75.172600000000003,0,0,400.000000000000000,445,446,226511132, , ,The City School,The City School,910 N 6th St,19103,(215) 731-1930,O,Middle/High,6-12, ,3,Private,0.026130586548246,0.000052956633108
447,1,447,666,39.938899999999997,-75.183359999999993,0,1,400.000000000000000,446,447,226511235, , ,Crooked Places Made Straight,Crooked Places Made Straight,2617 Washington Ave,19146,(215) 339-5007,O,Elem/Mid/High,K-12, ,3,Private,0.026128372370003,0.000052949146468
448,1,448,668,39.947319999999998,-75.179320000000004,0,0,400.000000000000000,447,448,226515462, , ,Philadelphia School,Phila School,2501-29 LOMBARD ST,19146,(215) 545-5323,O,Elem/Middle,pre K-8, ,3,Private,0.026130269145557,0.000052955560112
449,0,449,671,39.913150000000002,-75.243189999999998,1,1,400.000000000000000,448,449,,,,,,,,,,,,,,,0.026122577077507,0.000052929548284
450,0,450,672,39.948169999999998,-75.221260000000001,0,0,400.000000000000000,449,450,,,,,,,,,,,,,,,0.026130460408138,0.000052956206659
451,5,451,673,39.957839999999997,-75.164180000000002,1,0,400.000000000000000,450,451,226511652, , ,Friends Select School,Friends Select Sch,3 BENJ FRANKLIN PKY,19103,215-561-5900,O,Elem/Mid/High,pre K-12, ,3,Private,0.026132639710062,0.000052963575922
452,0,452,675,40.040450000000000,-75.065560000000005,1,0,400.000000000000000,451,452,,,,,,,,,,,,,,,0.026151304430351,0.000053026678707
453,2,453,676,39.960850000000001,-75.143400000000000,0,0,400.000000000000000,452,453,0, ,8070,OIC CADI,OIC CADI,444 N 3RD ST,19123,215-567-2410, ,High School,9-12, ,1,Contracted,0.026133318340682,0.000052965870359
454,3,454,677,39.925179999999997,-75.171260000000004,1,0,400.000000000000000,453,454,226510009, , ,True Gospel Tabernacle Learning Center,True Gospel Tabernacle Lrn Ctr,1900 S 16TH ST,19145,(215) 334-3343,O,Elementary School,pre K-4, ,3,Private,0.026125283589946,0.000052938701100
455,2,455,678,39.984229999999997,-75.099029999999999,1,1,400.000000000000000,454,455,226514552, , ,Our Lady of Port Richmond School,Our Lady of Port Richmond Sch,2639 E ALLEGHENY AVE,19134,(215) 739-1920,O,Elem/Middle,pre K-8, ,3,Archdiocese,0.026138593497508,0.000052983706997
456,2,456,679,39.949849999999998,-75.205770000000001,0,0,400.000000000000000,455,456,226511232, , ,Jubilee School,Jubilee School,4211 CHESTER AVE,19104,(215) 387-7592,O,Elementary School,pre K-6, ,3,Private,0.026130838720817,0.000052957485800
457,0,457,680,39.967390000000002,-75.128919999999994,0,0,400.000000000000000,456,457,,,,,,,,,,,,,,,0.026134793359059,0.000052970857954
