OBJECTID,Row_Labels,Average_of,Average__1,comm,ind,ASSET_NAME,OBJECTID_1,ACREAGE,ACREAGE_1,AREA,PERCENTAGE
60,48,39.932209999999998,-75.191509999999994,1,0,Vare Recreation Center,237,4.107693920000000,1.431353699499308,1.862590793332237,4.612485682124565
61,52,39.982120000000002,-75.148430000000005,0,1,8th & Diamond Playground,356,0.719323030000000,0.719322750851678,0.936752806487525,2.318091699728171
62,52,39.982120000000002,-75.148430000000005,0,1,8th & Diamond Playground Building,612,0.083942450000000,0.083942294890928,0.109315937537810,0.270513593019885
63,57,39.946489999999997,-75.237269999999995,1,0,Sherwood Park,325,1.647454990000000,1.647454933074839,2.144279493710854,5.308963772792050
64,60,39.942599999999999,-75.157049999999998,0,0,Frank Palumbo Recreation Center,277,3.221027890000000,2.605611947832167,3.391127185854359,8.396470603223312
65,60,39.942599999999999,-75.157049999999998,0,0,Frank Palumbo Recreation Center Building,500,0.305145690000000,0.105646499568288,0.137495637236245,0.340440807098401
66,60,39.942599999999999,-75.157049999999998,0,0,Seger Park Playground,318,1.911304920000000,0.613018255830107,0.797851787852691,1.975490365085350
67,60,39.942599999999999,-75.157049999999998,0,0,South Street Community Garden,1327,0.205610960000000,0.205610893114415,0.267602025361277,0.662585746910845
68,66,39.931410000000000,-75.156289999999998,0,0,Gold Star Park,272,0.882945930000000,0.566738443103336,0.737502120475493,1.826357676109925
69,66,39.931410000000000,-75.156289999999998,0,0,"Louis P. Paolone, Sr. Park",419,0.089513350000000,0.089513513729550,0.116483900579684,0.288461904122758
70,66,39.931410000000000,-75.156289999999998,0,0,"Louis P. Paolone, Sr. Park Garden",1356,0.001255940000000,0.001255989590579,0.001634416127887,0.004047484553943
71,69,39.958080000000002,-75.165679999999995,1,0,Vine Street Park,1372,11.868121490000000,2.783123701007931,3.623006747884604,8.968608866063564
72,73,39.943610000000000,-75.156829999999999,0,0,Seger Park Playground,318,1.911304920000000,0.814521714123852,1.060111341999999,2.624809909454255
73,73,39.943610000000000,-75.156829999999999,0,0,Seger Park Playground Building,504,0.033067010000000,0.032997523404345,0.042946851121162,0.106335359255767
74,73,39.943610000000000,-75.156829999999999,0,0,South Street Community Garden,1327,0.205610960000000,0.205610893114415,0.267602025361277,0.662576108876599
75,80,39.959009999999999,-75.172010000000000,0,0,Aviator Park,1008,1.903299470000000,1.903299872277900,2.477693785000187,6.133350010571045
76,80,39.959009999999999,-75.172010000000000,0,0,Barnes Foundation Museum,203,5.387681140000000,3.206735179716226,4.174647112246319,10.334034038037682
77,80,39.959009999999999,-75.172010000000000,0,0,Barnes Museum Building,1111,0.909827730000000,0.589887870969904,0.767938432437602,1.900975504407913
78,80,39.959009999999999,-75.172010000000000,0,0,Benjamin Franklin Parkway,1033,64.509472470000006,11.166976588156999,14.537723964999051,35.987073937144807
79,80,39.959009999999999,-75.172010000000000,0,0,Benjamin Franklin Parkway Medians,133,13.931207640000000,1.748940912935758,2.276913089414705,5.636332062329479
80,80,39.959009999999999,-75.172010000000000,0,0,Galusha Pennypacker Park,1151,1.154618500000000,0.486618647751399,0.633481247034918,1.568136561797882
81,80,39.959009999999999,-75.172010000000000,0,0,Logan Square,1024,9.209228050000000,5.779785848639755,7.524075947375624,18.625300499500650
82,80,39.959009999999999,-75.172010000000000,0,0,Logan Square Maintenance Building,524,0.003092430000000,0.003092408832905,0.004025643857501,0.009965187363118
83,80,39.959009999999999,-75.172010000000000,0,0,Shakespeare Park,1152,1.183946240000000,1.183945805989720,1.541268775585681,3.815298289990483
84,80,39.959009999999999,-75.172010000000000,0,0,West Triangle,1013,0.152973430000000,0.152973189783328,0.199140268606017,0.492957191059726
85,80,39.959009999999999,-75.172010000000000,0,0,Winter Street,1009,1.607994450000000,0.442953921941606,0.576641312785788,1.427433455773126
86,82,39.940890000000003,-75.181240000000003,0,1,Julian Abele Park,399,0.286051990000000,0.286052016157765,0.372286024148943,0.921807209092526
87,85,39.943640000000002,-75.180650000000000,0,0,22nd & Catharine Park,426,0.046244320000000,0.046243973293079,0.060186024049069,0.149019072993999
88,86,39.943420000000003,-75.155270000000002,0,0,South Street Community Garden,1327,0.205610960000000,0.205610893114415,0.267602025361277,0.662577904419414
89,86,39.943420000000003,-75.155270000000002,0,0,Starr Garden Playground,309,2.166848140000000,0.939162208938497,1.222318691744273,3.026439565303057
90,87,39.939920000000001,-75.149569999999997,0,0,Edward Shippen Plaza/Bainbridge Green,391,0.348398460000000,0.348398177150268,0.453425517279744,1.122730117360664
91,87,39.939920000000001,-75.149569999999997,0,0,Weccacoe Playground,269,0.903741930000000,0.023825789666935,0.031007058929802,0.076776797036300
92,89,39.937860000000001,-75.166749999999993,1,1,Ridgway Park,264,1.015508800000000,0.000824999838448,0.001073681160576,0.002658628299979
93,90,39.949230000000000,-75.150750000000002,1,0,Atwater Kent Museum,378,0.444489940000000,0.444489376476845,0.578565012764972,1.432397083002948
94,90,39.949230000000000,-75.150750000000002,1,0,Atwater Kent Museum Building,516,0.148192610000000,0.148192349662135,0.192893218951590,0.477560305343846
95,90,39.949230000000000,-75.150750000000002,1,0,Washington Square,117,7.188231450000000,0.362157155960481,0.471376485043081,1.167022352328405
96,93,39.975279999999998,-75.206659999999999,0,0,Memorial Area,67,54.772206629999999,7.056335152063863,9.188581811156199,22.740335476449744
97,93,39.975279999999998,-75.206659999999999,0,0,School of the Future Property,1257,6.730999710000000,0.812702233500214,1.058234225058112,2.618967952297554
98,93,39.975279999999998,-75.206659999999999,0,0,West Fairmount Park,8,1395.358889650000037,14.477413875857669,18.855232744454437,46.663818955700350
99,95,39.956969999999998,-75.169210000000007,1,0,Aviator Park,1008,1.903299470000000,0.035949037193503,0.046798041301018,0.115848536552840
100,95,39.956969999999998,-75.169210000000007,1,0,Basilica Green,1026,0.276190390000000,0.276190031153102,0.359536906184135,0.890033498416135
101,95,39.956969999999998,-75.169210000000007,1,0,Benjamin Franklin Parkway,1033,64.509472470000006,6.529500170366980,8.500427161894468,21.042804771362636
102,95,39.956969999999998,-75.169210000000007,1,0,Benjamin Franklin Parkway Medians,133,13.931207640000000,0.321291233376632,0.418282978789415,1.035459382712719
103,95,39.956969999999998,-75.169210000000007,1,0,Cret Park,1011,1.121917470000000,0.017897659315038,0.023298141327439,0.057674541543821
104,95,39.956969999999998,-75.169210000000007,1,0,East Triangle,1012,0.184851950000000,0.184851955523878,0.240636196944554,0.595694830011213
105,95,39.956969999999998,-75.169210000000007,1,0,Galusha Pennypacker Park,1151,1.154618500000000,0.670348514838367,0.872661200079530,2.160272526907225
106,95,39.956969999999998,-75.169210000000007,1,0,Levy Park,1001,0.572631830000000,0.025571078653389,0.033286764378979,0.082401374772924
107,95,39.956969999999998,-75.169210000000007,1,0,Logan Square,1024,9.209228050000000,5.264622601738319,6.853440824121837,16.965690609122461
108,95,39.956969999999998,-75.169210000000007,1,0,Logan Square Maintenance Building,524,0.003092430000000,0.003092408832905,0.004025643857501,0.009965480105773
109,95,39.956969999999998,-75.169210000000007,1,0,Sister Cities Park,1010,1.729054770000000,1.729053918847470,2.250859695356143,5.572002469409091
110,95,39.956969999999998,-75.169210000000007,1,0,Sister Cities Park Building,1339,0.066865360000000,0.066865127577752,0.087044215796503,0.215477928884923
111,95,39.956969999999998,-75.169210000000007,1,0,Torun Triangle,1014,0.624215370000000,0.624215717798680,0.812581547092667,2.011545364794584
112,95,39.956969999999998,-75.169210000000007,1,0,Vine Street Park,1372,11.868121490000000,0.160685089964359,0.209176173166317,0.517815551022093
113,96,39.952579999999998,-75.148480000000006,1,0,Ben-Gurion Place,1309,0.387166130000000,0.375039453982540,0.488173346273378,1.208549332605814
114,102,39.947949999999999,-75.223320000000001,0,0,Cedar Park,347,0.838993540000000,0.838993334401575,1.092036189782162,2.703686277094006
115,105,39.989970000000000,-75.219350000000006,0,0,West Fairmount Park,8,1395.358889650000037,23.514821197865146,30.625457725522942,75.777294362057859
116,111,39.929259999999999,-75.168620000000004,0,0,A. Giuseppe DiSilvestro Playground,316,1.990736140000000,1.990736115687482,2.590418586326972,6.415136910403925
117,111,39.929259999999999,-75.168620000000004,0,0,South Philadelphia Community Health & Literacy Ctr,1041,0.866518640000000,0.866518789805616,1.127545508177882,2.792351338834573
118,112,39.913010000000000,-75.172300000000007,0,0,Marconi Plaza,122,18.846212479999998,1.920729253669895,2.498823996306221,6.189749973403077
119,113,39.950530000000001,-75.173829999999995,1,0,Rittenhouse Square,112,7.313901870000000,3.115728578727949,4.055515544913012,10.040357513765057
120,113,39.950530000000001,-75.173829999999995,1,0,Rittenhouse Square Maintenance Building,515,0.011128990000000,0.011129056108124,0.014485828623677,0.035862986260102
121,114,39.899130000000000,-75.174830000000000,0,1,Franklin Delano Roosevelt Park,26,348.582655209999984,6.502255260311125,8.457614101359686,20.954239402991213
122,115,39.937410000000000,-75.163060000000002,1,1,Hawthorne Cultural Center,261,1.022387150000000,1.022387187391318,1.330548448714686,3.294699135812461
123,115,39.937410000000000,-75.163060000000002,1,1,Hawthorne Cultural Center Building,497,0.214421290000000,0.214420865459990,0.279050563651658,0.690983971158080
124,115,39.937410000000000,-75.163060000000002,1,1,Ridgway Park,264,1.015508800000000,0.003517257821258,0.004577471756455,0.011334718592748
125,116,39.944510000000001,-75.156639999999996,0,0,Seger Park Playground,318,1.911304920000000,0.140862101055780,0.183333984101099,0.453924598200527
126,116,39.944510000000001,-75.156639999999996,0,0,South Street Community Garden,1327,0.205610960000000,0.102468884984578,0.133362978697466,0.330199208929479
127,126,39.971890000000002,-75.162700000000001,0,0,Stiles Street Play Lot,884,0.019246140000000,0.019246125451586,0.025059833344345,0.062022287849418
128,128,39.940860000000001,-75.212599999999995,0,0,48th & Woodland Playground,217,4.846594690000000,1.416470437397756,1.843510064413795,4.564666413206795
129,129,39.952640000000002,-75.178150000000002,1,0,June 5th Memorial Park,977,0.112079440000000,0.112079433393308,0.145894695008319,0.361184788133607
130,129,39.952640000000002,-75.178150000000002,1,0,Schuylkill Banks,2,17.745484919999999,0.723591060234619,0.941929489644483,2.331891527204879
131,130,39.948779999999999,-75.174199999999999,0,0,Rittenhouse Square,112,7.313901870000000,2.620707165137128,3.411182450050811,8.445376743176826
132,130,39.948779999999999,-75.174199999999999,0,0,Rittenhouse Square Maintenance Building,515,0.011128990000000,0.011129056108124,0.014485828623677,0.035863892346838
133,133,39.933439999999997,-75.152630000000002,1,0,Gold Star Park,272,0.882945930000000,0.029467937808505,0.038346907439010,0.094959903606204
134,133,39.933439999999997,-75.152630000000002,1,0,Jefferson Square,279,3.128182290000000,1.254618132076565,1.632665276323770,4.043031045136662
135,133,39.933439999999997,-75.152630000000002,1,0,Manton Street Park,430,0.061390290000000,0.061390041869683,0.079887422255589,0.197828258479626
136,133,39.933439999999997,-75.152630000000002,1,0,Manton Street Park Community Garden,1335,0.015563100000000,0.015563170745231,0.020252503143840,0.050152042883306
137,133,39.933439999999997,-75.152630000000002,1,0,Sacks Playground,247,3.738516020000000,3.738516170532201,4.865038085171983,12.047478622447247
138,133,39.933439999999997,-75.152630000000002,1,0,Sacks Playground Building,489,0.016787640000000,0.016787689303874,0.021846259936113,0.054098723371340
139,133,39.933439999999997,-75.152630000000002,1,0,Sacks Playground Shed,1128,0.002921150000000,0.002921121324325,0.003801312277611,0.009413333996572
140,138,39.960220000000000,-75.173680000000004,0,0,Barnes Foundation Museum,203,5.387681140000000,5.387681464040007,7.013884092402044,17.362055560930660
141,138,39.960220000000000,-75.173680000000004,0,0,Barnes Museum Building,1111,0.909827730000000,0.909826564791872,1.184446774278575,2.931960442041896
142,138,39.960220000000000,-75.173680000000004,0,0,Benjamin Franklin Parkway,1033,64.509472470000006,14.511964863294692,18.892395601159038,46.765931370569788
143,138,39.960220000000000,-75.173680000000004,0,0,Benjamin Franklin Parkway Medians,133,13.931207640000000,4.818381492220190,6.272959714238611,15.527983305009474
