OBJECTID,Row_Labels,Average_of,Average__1,comm,ind,OBJECTID_1,NAME,Acres,Acres_1,AREA,PERCENTAGE
73,216,33.759700000000002,-84.387609999999995,1,0,1489,Walton Spring Park,0.180000000000000,0.179999853410285,0.184273745003857,0.593935869916320
74,218,33.753480000000003,-84.385310000000004,1,0,1481,Hurt Park,1.860000000000000,1.859999345711090,1.864838947819290,6.010595742683222
75,220,33.755920000000003,-84.391589999999994,1,0,1298,Marietta Street Island,0.170000000000000,0.170000585512204,0.172493583123640,0.555966857596413
76,221,33.747190000000003,-84.302660000000003,0,0,1456,East Lake Park,10.350000000000000,1.996859246625151,1.997178982588730,6.437183093989374
77,224,33.762210000000003,-84.384159999999994,1,0,1294,Folk Art (Courtland) Park,0.490000000000000,0.156849104164464,0.158434275364752,0.510652427661185
78,224,33.762210000000003,-84.384159999999994,1,0,1295,Folk Art (Piedmont) Park,0.300000000000000,0.299999942468257,0.303312638748365,0.977612546026337
79,230,33.760170000000002,-84.372060000000005,1,0,1363,Freedom Park,125.129999999999995,3.813636586983258,3.813660098532567,12.291890525684773
80,245,33.781179999999999,-84.368859999999998,0,1,1332,Piedmont Park,193.490000000000009,3.187180113927421,3.187228161877926,10.272827325749446
81,248,33.773809999999997,-84.359960000000001,0,0,1363,Freedom Park,125.129999999999995,5.668971187616492,5.669006137537014,18.271916035297721
82,249,33.750599999999999,-84.397090000000006,1,0,1564,Fire Station #5 Park,0.080000000000000,0.079999932237981,0.083740573307085,0.269905438291123
83,251,33.747419999999998,-84.328569999999999,0,0,1636,Kirkwood Urban Forest,6.460000000000000,1.324120786707361,1.324562876209671,4.269241762397111
84,254,33.760990000000000,-84.389049999999997,1,0,1489,Walton Spring Park,0.180000000000000,0.179999853410285,0.184273745003857,0.593935771679325
85,264,33.751489999999997,-84.371070000000003,1,1,1544,Oakland Cemetery,47.700000000000003,0.935273331145567,0.935330609594813,3.014684712455933
86,266,33.759720000000002,-84.390569999999997,1,0,1489,Walton Spring Park,0.180000000000000,0.179999853410285,0.184273745003857,0.593935725933829
87,267,33.741940000000000,-84.394509999999997,0,0,1345,Fulton-Pryor Island,0.120000000000000,0.119999999995413,0.119596850612482,0.385474413305412
88,269,33.690150000000003,-84.506249999999994,0,0,1621,Coventry Station CE,16.120000000000001,0.027467299193761,0.027461842574894,0.088511486012143
89,270,33.797089999999997,-84.368989999999997,0,0,1332,Piedmont Park,193.490000000000009,1.761872902767027,1.761899463670083,5.678817679253696
90,270,33.797089999999997,-84.368989999999997,0,0,1394,Smith Park,0.410000000000000,0.409999999996624,0.405763851364149,1.307826570268071
91,275,33.761360000000003,-84.372029999999995,1,0,1363,Freedom Park,125.129999999999995,2.634330712924943,2.634346953905184,8.490820334340812
92,280,33.780540000000002,-84.369069999999994,0,1,1332,Piedmont Park,193.490000000000009,1.392208934148214,1.392229922226569,4.487327894827343
93,282,33.773150000000001,-84.372820000000004,0,0,1292,Charles Allen Median,0.320000000000000,0.052981688919981,0.053701634288439,0.173086893451571
94,287,33.731909999999999,-84.413309999999996,0,0,1348,Rose Circle Triangle,0.200000000000000,0.059826495234591,0.061304706857553,0.197591751684340
95,287,33.731909999999999,-84.413309999999996,0,0,1349,Adair Park II,10.560000000000000,7.790646067568670,7.793571406625992,25.119530049958655
96,291,33.801839999999999,-84.372299999999996,0,0,1590,Piedmont Heights Park,0.030000000000000,0.023295295183182,0.026692772442254,0.086034055629762
97,292,33.762189999999997,-84.382120000000000,1,0,1295,Folk Art (Piedmont) Park,0.300000000000000,0.299999942468257,0.303312638748365,0.977612715896124
98,292,33.762189999999997,-84.382120000000000,1,0,1650,Piedmont Harris Park,0.380000000000000,0.380000050513325,0.377183458220333,1.215707154517178
99,294,33.757660000000001,-84.372110000000006,0,0,1466,70 Boulevard,1.650000000000000,1.629938181524998,1.632105990690094,5.260476321342675
100,294,33.757660000000001,-84.372110000000006,0,0,1651,Martin Luther King Jr. Playlot,1.450000000000000,1.378208110147008,1.382197507169107,4.454990851916178
101,298,33.782380000000003,-84.354330000000004,0,0,1383,Virginia Highland Triangle,0.050000000000000,0.049999999998190,0.053638647369355,0.172884144537572
102,298,33.782380000000003,-84.354330000000004,0,0,1574,Lanier Boulevard Parkway,2.100000000000000,0.467559211150322,0.466497946311923,1.503581882319197
103,301,33.746879999999997,-84.381519999999995,0,0,1344,Rawson-Washington Park,4.480000000000000,1.330080040919490,1.331373040177483,4.291173696567962
104,301,33.746879999999997,-84.381519999999995,0,0,1616,Memorial Drive Greenway,4.520000000000000,0.883155332918260,0.883413165484000,2.847345728452957
105,302,33.774709999999999,-84.345060000000004,0,0,1359,Springdale Park,5.240000000000000,4.137332426729539,4.138695519411499,13.339548531636670
106,302,33.774709999999999,-84.345060000000004,0,0,1360,Virgilee Park,3.500000000000000,2.211422539196567,2.209100840722556,7.120216439668933
107,308,33.736840000000001,-84.394599999999997,0,0,1305,Ralph David Abernathy Plaza,0.330000000000000,0.329999925384366,0.325624744077703,1.049526029520328
108,308,33.736840000000001,-84.394599999999997,0,0,1306,Ralph David Abernathy Median,0.290000000000000,0.128309493585493,0.127791267257869,0.411885963127291
109,315,33.753160000000001,-84.391279999999995,1,0,1298,Marietta Street Island,0.170000000000000,0.017909298243075,0.018171931678178,0.058570245535359
110,317,33.756450000000001,-84.392129999999995,1,0,1298,Marietta Street Island,0.170000000000000,0.125206947682622,0.127043062661682,0.409474506083914
111,318,33.738830000000000,-84.433539999999994,0,1,1501,Gordon-White Park,1.850000000000000,0.714514783915894,0.714734400137566,2.303661844640783
112,318,33.738830000000000,-84.433539999999994,0,1,1596,South Gordon Triangle,0.010000000000000,0.010000000002285,0.011989752445091,0.038644194583511
113,319,33.740749999999998,-84.394540000000006,0,0,1345,Fulton-Pryor Island,0.120000000000000,0.119999999995413,0.119596850612482,0.385474434139138
114,328,33.720230000000001,-84.480490000000003,0,0,1542,Cascade Springs Nature Preserve,120.859999999999999,14.664491787481605,14.664331626106044,47.264361307294998
115,333,33.763959999999997,-84.371960000000001,0,0,1303,Parkway-Wabash Park,0.600000000000000,0.597669867478789,0.597340118591206,1.925299961959552
116,338,33.754359999999998,-84.374390000000005,0,0,1480,Selena S. Butler Park,5.450000000000000,0.811045352083607,0.810495822746746,2.612326261371340
117,341,33.801240000000000,-84.367509999999996,0,0,1589,Pelham Road Park,0.090000000000000,0.090000000000091,0.085748006313010,0.276376373143735
118,343,33.761319999999998,-84.367840000000001,0,0,1363,Freedom Park,125.129999999999995,6.307959985881823,6.307998875248670,20.331455826221454
119,347,33.764800000000001,-84.387519999999995,1,0,1293,Mayor's #1 Park,0.220000000000000,0.118102294588703,0.118936294239424,0.383345641768347
120,347,33.764800000000001,-84.387519999999995,1,0,1487,Hardy Ivy Park,0.560000000000000,0.346487957356092,0.344488103752912,1.110325608000554
121,348,33.771079999999998,-84.348979999999997,0,0,1363,Freedom Park,125.129999999999995,9.842448427359241,9.842509107291967,31.723665796736821
122,349,33.754610000000000,-84.402810000000002,1,0,1490,Mitchell-Haynes Park,0.080000000000000,0.080000027003030,0.078082391094062,0.251668327308312
123,352,33.769979999999997,-84.349029999999999,0,0,1363,Freedom Park,125.129999999999995,13.763928970271106,13.764013826624698,44.363173886532188
124,359,33.751370000000001,-84.490499999999997,0,0,1551,Adamsville Recrecreation Center,10.930000000000000,1.680985761681618,1.681546396912861,5.419757112482453
125,363,33.773660000000000,-84.370959999999997,0,0,1292,Charles Allen Median,0.320000000000000,0.000536315017065,0.000543602771012,0.001752098101367
126,364,33.771079999999998,-84.352519999999998,0,0,1363,Freedom Park,125.129999999999995,2.954869623542669,2.954887840685617,9.523978995657652
127,367,33.756270000000001,-84.388540000000006,1,0,1444,Margaret Mitchell Square,0.040000000000000,0.039999906080096,0.041577512184181,0.134009185937784
128,367,33.756270000000001,-84.388540000000006,1,0,1488,Robert W. Woodruff Park,3.300000000000000,3.293688475368551,3.295211648173739,10.620852650065029
129,376,33.781790000000001,-84.372820000000004,0,0,1332,Piedmont Park,193.490000000000009,14.697396817856138,14.697618386694304,47.372210977273866
130,377,33.764569999999999,-84.350279999999998,0,0,1354,Bass Recreation Center,4.820000000000000,2.713389484219455,2.715973641310157,8.753929529595220
131,377,33.764569999999999,-84.350279999999998,0,0,1355,Findley Plaza,0.110000000000000,0.109999999997902,0.113303913486381,0.365192967634499
132,382,33.741970000000002,-84.398229999999998,0,0,1543,Rosa L. Burney Park,13.720000000000001,5.872476873178737,5.870546978164740,18.921441280802696
133,383,33.759349999999998,-84.372090000000000,1,0,1363,Freedom Park,125.129999999999995,3.272214281684298,3.272234455296986,10.546810266484581
134,386,33.758440000000000,-84.387630000000001,1,0,1444,Margaret Mitchell Square,0.040000000000000,0.039999906080096,0.041577512184181,0.134009204392836
135,386,33.758440000000000,-84.387630000000001,1,0,1489,Walton Spring Park,0.180000000000000,0.055157154678651,0.056466798521355,0.181999122769460
136,387,33.754309999999997,-84.372150000000005,1,0,1466,70 Boulevard,1.650000000000000,0.160634490596103,0.160848133619435,0.518433134388379
137,389,33.754449999999999,-84.382300000000001,1,0,1450,John Calhoun Park,0.280000000000000,0.279999748949346,0.279400382631970,0.900540641384917
138,390,33.743319999999997,-84.349209999999999,0,0,1579,Moreland Avenue Planters,0.050000000000000,0.049999999996563,0.054513546855630,0.175704136527987
139,394,33.752899999999997,-84.494039999999998,0,0,1551,Adamsville Recrecreation Center,10.930000000000000,2.953741202652136,2.954726321872018,9.523312166292317
140,400,33.773690000000002,-84.330870000000004,0,0,1361,Shadyside Park,4.070000000000000,1.044483445027728,1.044810098202959,3.367561121054198
141,400,33.773690000000002,-84.330870000000004,0,0,1362,Dellwood Park,1.350000000000000,1.349999999981917,1.354385511954908,4.365363620454254
142,403,33.775419999999997,-84.358720000000005,0,0,1363,Freedom Park,125.129999999999995,0.014156587178513,0.014156674455653,0.045628737054581
143,408,33.729329999999997,-84.415850000000006,0,1,1348,Rose Circle Triangle,0.200000000000000,0.193134778232795,0.197906812310045,0.637875095961028
144,408,33.729329999999997,-84.415850000000006,0,1,1555,Brookline Park,0.060000000000000,0.060000000000185,0.055183879008952,0.177863620294138
145,412,33.755470000000003,-84.372140000000002,0,0,1466,70 Boulevard,1.650000000000000,1.650000950609481,1.652195443151402,5.325227377339785
146,412,33.755470000000003,-84.372140000000002,0,0,1651,Martin Luther King Jr. Playlot,1.450000000000000,0.000552123670857,0.000553721862387,0.001784713081759
147,419,33.767820000000000,-84.349010000000007,0,0,1363,Freedom Park,125.129999999999995,1.875931623131775,1.875943188486222,6.046404817447351
148,422,33.764200000000002,-84.382069999999999,1,0,1294,Folk Art (Courtland) Park,0.490000000000000,0.278219702649432,0.281031487022327,0.905797866399470
149,422,33.764200000000002,-84.382069999999999,1,0,1295,Folk Art (Piedmont) Park,0.300000000000000,0.199102791641668,0.201301348987392,0.648818160370864
150,423,33.748950000000001,-84.398039999999995,1,0,1564,Fire Station #5 Park,0.080000000000000,0.078127715160233,0.081780815004046,0.263588896030251
151,427,33.756610000000002,-84.355509999999995,0,1,1351,Springvale Park,4.270000000000000,1.865618179059292,1.866720558726751,6.016676028530090
152,429,33.698189999999997,-84.483289999999997,0,0,1628,Campbellton Road Park,10.180000000000000,6.308053668923701,6.305086466791859,20.321811924834787
