FID,Row_Labels,Average_of,Average__1,Comm
690,1076,42.353850000000001,-71.071680000000001,1
695,1083,42.372109999999999,-71.064520000000002,1
696,1084,42.352060000000002,-71.078310000000002,1
697,1086,42.285739999999997,-71.042540000000002,1
699,1089,42.319540000000003,-71.111670000000004,1
705,1100,42.350890000000000,-71.077740000000006,1
707,1104,42.288620000000002,-71.125810000000001,1
717,1120,42.292769999999997,-71.121390000000005,1
718,1121,42.294440000000002,-71.135940000000005,1
719,1122,42.353160000000003,-71.060720000000003,1
721,1128,42.359220000000001,-71.059849999999997,1
722,1129,42.311639999999997,-71.114390000000000,1
723,1130,42.368229999999997,-71.056640000000002,1
725,1132,42.304250000000003,-71.059169999999995,1
727,1135,42.315040000000003,-71.097589999999997,1
728,1136,42.360540000000000,-71.053200000000004,1
729,1137,42.286250000000003,-71.137469999999993,1
730,1139,42.351909999999997,-71.124520000000004,1
731,1140,42.286040000000000,-71.145179999999996,1
732,1141,42.338920000000002,-71.107280000000003,1
733,1142,42.300510000000003,-71.106629999999996,1
736,1145,42.349049999999998,-71.158019999999993,1
738,1147,42.285670000000003,-71.128969999999995,1
741,1151,42.350149999999999,-71.069929999999999,1
743,1154,42.354529999999997,-71.053349999999995,1
744,1155,42.315089999999998,-71.097510000000000,1
746,1158,42.280679999999997,-71.158180000000002,1
748,1161,42.307420000000000,-71.082520000000002,1
749,1162,42.353800000000000,-71.139060000000001,1
750,1165,42.340449999999997,-71.088930000000005,1
753,1172,42.323650000000001,-71.060199999999995,1
754,1173,42.345860000000002,-71.075249999999997,1
758,1179,42.346040000000002,-71.106700000000004,1
759,1180,42.351689999999998,-71.078130000000002,1
760,1181,42.285490000000003,-71.118830000000003,1
762,1183,42.363990000000001,-71.051069999999996,1
763,1184,42.286360000000002,-71.071169999999995,1
764,1185,42.262599999999999,-71.108419999999995,1
766,1191,42.298119999999997,-71.062460000000002,1
767,1192,42.289980000000000,-71.045659999999998,1
