OBJECTID,Row_Labels,Average_of,Average__1,Comm,ACRES,SITE_NAME,OBJECTID_1,ACRES_1,AREA,PERCENTAGE
90,18,42.345129999999997,-71.040379999999999,1,1.240000000000000,Marine Industrial Park Entrance I,8268,1.239999541168077,1.681521819376044,1.003645547460143
91,19,42.344310000000000,-71.090779999999995,0,0.083516580000000,Harry Ellis Dickson Park,7933,0.083517395524318,0.113048193485420,0.067475648699053
92,19,42.344310000000000,-71.090779999999995,0,0.108116400000000,Edgerly Road Playground,7927,0.108116358650541,0.166238828033510,0.099223812559005
93,19,42.344310000000000,-71.090779999999995,0,0.288682840000000,Stony Brook Sewer Easement,7932,0.288683011769712,0.422004652430034,0.251884057575917
94,19,42.344310000000000,-71.090779999999995,0,0.297886150000000,Symphony Road Garden,7928,0.297886266352609,0.401964136946700,0.239922373440949
95,19,42.344310000000000,-71.090779999999995,0,0.496795930000000,Symphony Community Park,7926,0.496795940800783,0.644459755960017,0.384661963655739
96,19,42.344310000000000,-71.090779999999995,0,0.600000000000000,Agassiz Road,8514,0.600001569632375,0.815079706276488,0.486500758895655
97,19,42.344310000000000,-71.090779999999995,0,0.620000000000000,Boylston Street I,8519,0.620012642310334,0.832392068474193,0.496834076340075
98,19,42.344310000000000,-71.090779999999995,0,0.770000000000000,The Fenway II,8521,0.427863508722154,0.576251871229791,0.343950377502389
99,19,42.344310000000000,-71.090779999999995,0,0.840000000000000,Fire Alarm House Grounds,8524,0.840000711693540,1.139525714447198,0.680154493592091
100,19,42.344310000000000,-71.090779999999995,0,1.490000000000000,Charlesgate II,8510,1.398597814335788,1.884237485646032,1.124654386126357
101,19,42.344310000000000,-71.090779999999995,0,2.400000000000000,Boylston Street II,8520,2.400000075107781,2.402065125310682,1.433732796169045
102,19,42.344310000000000,-71.090779999999995,0,5.100000000000000,Park Drive I,8522,2.180515401364931,2.939479675466044,1.754502144833777
103,19,42.344310000000000,-71.090779999999995,0,9.919982310000000,Christian Science Plaza,8183,0.555833821443487,0.750061026937682,0.447692729941990
104,19,42.344310000000000,-71.090779999999995,0,50.280000000000001,The Fenway I,8598,18.975655895550254,3.437669461438160,2.051859209527132
105,19,42.344310000000000,-71.090779999999995,0,70.920000000000002,Back Bay Fens,8504,35.644241869370106,47.537489246312596,28.373942347277691
106,20,42.338949999999997,-71.092439999999996,0,0.150000000000000,Alice Taylor Homes Playlots,8694,0.059362171419607,0.080129853275264,0.047831528875172
107,20,42.338949999999997,-71.092439999999996,0,0.177544670000000,Southwest Corridor Park Extension,8461,0.147132132273787,0.198511712223952,0.118496643974649
108,20,42.338949999999997,-71.092439999999996,0,0.288682840000000,Stony Brook Sewer Easement,7932,0.288683011769712,0.422004652430034,0.251905212515785
109,20,42.338949999999997,-71.092439999999996,0,0.330000000000000,Huntington-Hemenway Mall,8420,0.330000100103491,0.444056791704813,0.265068690213135
110,20,42.338949999999997,-71.092439999999996,0,2.981506990000000,Wentworth Field,7929,2.981505038232074,4.022880828524615,2.401358952323835
111,20,42.338949999999997,-71.092439999999996,0,3.285797940000000,Wentworth Grounds,8161,2.737275657024456,3.693275140714892,2.204609010454685
112,20,42.338949999999997,-71.092439999999996,0,47.680000000000000,Southwest Corridor Park,8789,0.037780136592740,0.051810679882390,0.030927100569169
113,20,42.338949999999997,-71.092439999999996,0,50.280000000000001,The Fenway I,8598,23.125908552456782,4.189537902478229,2.500840759905338
114,20,42.338949999999997,-71.092439999999996,0,70.920000000000002,Back Bay Fens,8504,20.764215176225996,27.692513681885387,16.530359331259234
115,22,42.338270000000001,-71.106160000000003,1,0.057553210000000,Oscar Tugo Circle,7930,0.057553308357104,0.077654608216191,0.046354485428452
116,22,42.338270000000001,-71.106160000000003,1,0.304008850000000,Joslin Park,8615,0.304008223964600,0.415451355834647,0.247996020618032
117,22,42.338270000000001,-71.106160000000003,1,0.450000000000000,Riverway V,8526,0.449999838381301,0.605866066911822,0.361660568707909
118,22,42.338270000000001,-71.106160000000003,1,0.501509880000000,Beth Israel/Deaconess Plaza,8234,0.501510503831620,0.676692266740540,0.403938961752822
119,22,42.338270000000001,-71.106160000000003,1,1.370000000000000,Windsor School Athletic Field,8757,1.369998562283133,1.852929882904258,1.106072301825354
120,22,42.338270000000001,-71.106160000000003,1,1.490000000000000,Avenue Louis Pasteur,8599,1.081924544576077,1.455774185345827,0.868997536808891
121,22,42.338270000000001,-71.106160000000003,1,1.712231310000000,Harvard Medical School Quadrangle,8160,1.712232521937505,2.310231063005035,1.379049802791942
122,22,42.338270000000001,-71.106160000000003,1,1.920000000000000,Riverway IV,8507,0.243195877361112,0.328490965519592,0.196086620283549
123,22,42.338270000000001,-71.106160000000003,1,2.360000000000000,Riverway II,8525,0.696486269110688,0.941070114941089,0.561754439720331
124,22,42.338270000000001,-71.106160000000003,1,3.621663110000000,Emanuel College Grounds,8182,2.997604694423555,3.580562004475886,2.137350417119739
125,22,42.338270000000001,-71.106160000000003,1,5.300000000000000,Riverway III,8506,0.198738772661545,0.267975756645320,0.159963183022072
126,22,42.338270000000001,-71.106160000000003,1,17.180000000000000,Riverway I,8505,2.852719017659074,3.850367085313348,2.298405581462127
127,25,42.348709999999997,-71.071730000000002,0,0.020000000000000,Bay Village Garden,8387,0.020000103091833,0.024497256114754,0.014620792873684
128,25,42.348709999999997,-71.071730000000002,0,0.060163410000000,Childe Hassam Park,8242,0.060163340655423,0.081860889538984,0.048857353852139
129,25,42.348709999999997,-71.071730000000002,0,0.226750820000000,Statler Park,8576,0.226751410402628,0.313977574563765,0.187392459921816
130,25,42.348709999999997,-71.071730000000002,0,0.230000000000000,Chandler/Tremont Plaza,8276,0.229999702608499,0.315660543202825,0.188396912656005
131,25,42.348709999999997,-71.071730000000002,0,0.270000000000000,Frieda Garcia Park,8639,0.269999960213246,0.361388963028357,0.215689183740492
