FID,Row_Labels,Average_of,Average__1,comm,ind
254,350,33.761530000000000,-84.358029999999999,0,0
255,352,33.769979999999997,-84.349029999999999,0,0
256,355,33.754620000000003,-84.364130000000003,0,1
257,356,33.653700000000001,-84.399320000000003,0,1
258,358,33.750619999999998,-84.384230000000002,1,0
259,359,33.751370000000001,-84.490499999999997,0,0
260,361,33.751620000000003,-84.292230000000004,0,0
261,362,33.768880000000003,-84.396090000000001,1,0
262,363,33.773660000000000,-84.370959999999997,0,0
263,364,33.771079999999998,-84.352519999999998,0,0
264,365,33.741819999999997,-84.414060000000006,1,0
265,366,33.692580000000000,-84.490589999999997,0,0
266,367,33.756270000000001,-84.388540000000006,1,0
267,368,33.769779999999997,-84.387439999999998,1,0
268,369,33.753540000000001,-84.394769999999994,1,0
269,372,33.681130000000003,-84.397869999999998,0,0
270,374,33.722589999999997,-84.464200000000005,0,0
271,375,33.760939999999998,-84.384180000000001,1,0
272,376,33.781790000000001,-84.372820000000004,0,0
273,377,33.764569999999999,-84.350279999999998,0,0
274,378,33.747889999999998,-84.383840000000006,1,0
275,380,33.722000000000001,-84.394229999999993,0,1
276,381,33.781750000000002,-84.382499999999993,0,0
277,382,33.741970000000002,-84.398229999999998,0,0
278,383,33.759349999999998,-84.372090000000000,1,0
279,384,33.751080000000002,-84.309709999999995,0,0
280,386,33.758440000000000,-84.387630000000001,1,0
281,387,33.754309999999997,-84.372150000000005,1,0
282,388,33.751469999999998,-84.385379999999998,1,0
283,389,33.754449999999999,-84.382300000000001,1,0
284,390,33.743319999999997,-84.349209999999999,0,0
285,391,33.787149999999997,-84.407409999999999,1,1
286,392,33.825369999999999,-84.360529999999997,0,0
287,393,33.758380000000002,-84.382210000000001,1,0
288,394,33.752899999999997,-84.494039999999998,0,0
289,396,33.757910000000003,-84.393519999999995,1,0
290,398,33.749769999999998,-84.379530000000003,0,1
291,399,33.744779999999999,-84.290999999999997,0,0
292,400,33.773690000000002,-84.330870000000004,0,0
293,401,33.746899999999997,-84.387709999999998,1,0
294,403,33.775419999999997,-84.358720000000005,0,0
295,405,33.746989999999997,-84.396929999999998,1,0
296,408,33.729329999999997,-84.415850000000006,0,1
297,409,33.773049999999998,-84.417370000000005,0,1
298,410,33.781509999999997,-84.393569999999997,1,0
299,411,33.747320000000002,-84.306640000000002,0,0
300,412,33.755470000000003,-84.372140000000002,0,0
301,413,33.779530000000001,-84.384209999999996,0,0
302,416,33.758450000000003,-84.349189999999993,1,0
303,417,33.741920000000000,-84.391159999999999,0,0
304,418,33.794699999999999,-84.431889999999996,0,1
305,419,33.767820000000000,-84.349010000000007,0,0
306,420,33.702359999999999,-84.476159999999993,0,0
307,421,33.831499999999998,-84.385459999999995,0,0
308,422,33.764200000000002,-84.382069999999999,1,0
309,423,33.748950000000001,-84.398039999999995,1,0
310,427,33.756610000000002,-84.355509999999995,0,1
311,428,33.758400000000002,-84.384219999999999,1,0
312,429,33.698189999999997,-84.483289999999997,0,0
313,430,33.786630000000002,-84.390420000000006,1,1
314,432,33.752640000000000,-84.384159999999994,1,0
315,434,33.789659999999998,-84.398759999999996,1,0
316,435,33.755429999999997,-84.349199999999996,1,0
317,436,33.781750000000002,-84.363510000000005,0,1
318,437,33.759709999999998,-84.389070000000004,1,0
319,440,33.773119999999999,-84.403180000000006,0,1
320,442,33.773840000000000,-84.348960000000005,0,0
321,444,33.682870000000001,-84.506360000000001,0,0
322,446,33.786479999999997,-84.378140000000002,0,0
323,448,33.740139999999997,-84.345370000000003,0,0
324,450,33.771129999999999,-84.367699999999999,0,0
325,451,33.759270000000001,-84.389439999999993,1,0
326,453,33.791660000000000,-84.374219999999994,0,0
327,454,33.781509999999997,-84.399150000000006,0,0
328,455,33.788400000000003,-84.436589999999995,0,1
329,456,33.765839999999997,-84.511070000000004,0,0
330,457,33.790410000000001,-84.412049999999994,0,1
331,458,33.753700000000002,-84.390270000000001,1,0
332,459,33.759659999999997,-84.382189999999994,1,0
333,460,33.753549999999997,-84.349209999999999,0,0
334,462,33.778820000000003,-84.409750000000003,0,1
335,464,33.749440000000000,-84.396039999999999,1,0
336,465,33.760159999999999,-84.349119999999999,1,0
337,467,33.771120000000003,-84.365830000000003,0,0
338,469,33.762110000000000,-84.332980000000006,0,1
339,471,33.755549999999999,-84.382249999999999,1,0
340,472,33.739820000000002,-84.300430000000006,0,0
341,475,33.760899999999999,-84.382159999999999,1,0
342,477,33.763330000000003,-84.389009999999999,1,0
343,479,33.653179999999999,-84.396950000000004,0,1
344,480,33.651890000000002,-84.394310000000004,0,1
345,483,33.725949999999997,-84.322580000000002,0,0
346,484,33.761510000000001,-84.331029999999998,0,1
347,485,33.763730000000002,-84.391990000000007,1,0
348,487,33.740049999999997,-84.309680000000000,0,0
349,489,33.787830000000000,-84.494420000000005,0,1
350,490,33.772579999999998,-84.380260000000007,0,0
351,491,33.739019999999996,-84.432389999999998,0,1
352,492,33.771180000000001,-84.371769999999998,0,0
353,493,33.825820000000000,-84.367149999999995,0,1
354,494,33.743560000000002,-84.403980000000004,0,1
355,495,33.744419999999998,-84.393370000000004,0,0
356,496,33.777569999999997,-84.388779999999997,0,0
357,497,33.790849999999999,-84.496870000000001,0,1
358,498,33.744320000000002,-84.408420000000007,0,1
359,499,33.835000000000001,-84.407420000000002,0,0
360,500,33.781540000000000,-84.391610000000000,1,0
361,501,33.781550000000003,-84.404200000000003,0,0
362,502,33.758420000000001,-84.386080000000007,1,0
363,504,33.755789999999998,-84.468660000000000,1,0
364,505,33.773829999999997,-84.352509999999995,0,0
365,507,33.759680000000003,-84.386060000000001,1,0
366,508,33.758960000000002,-84.394319999999993,1,0
367,509,33.764859999999999,-84.339420000000004,0,0
368,510,33.790819999999997,-84.367109999999997,0,0
369,511,33.750549999999997,-84.395169999999993,1,0
370,512,33.673560000000002,-84.497150000000005,0,0
371,514,33.781500000000001,-84.387799999999999,0,0
372,515,33.757689999999997,-84.374330000000000,0,0
373,517,33.779499999999999,-84.372810000000001,0,0
374,518,33.746940000000002,-84.392799999999994,1,0
375,519,33.776550000000000,-84.457179999999994,0,0
376,520,33.757100000000001,-84.382230000000007,1,0
