OBJECTID,Row_Labels,Average_of,Average__1,SITE_NAME,ACRES,OBJECTID_1,ACRES_1,AREA,PERCENTAGE
1971,1031,42.352649999999997,-71.057130000000001,Dewey Square Plaza,0.580000000000000,8373,0.580000008958252,0.787052323938026,1.879456490545512
1972,1031,42.352649999999997,-71.057130000000001,Federal Reserve Plaza,2.090000000000000,8471,0.227118493994456,0.306790761990378,0.732606805577036
1973,1031,42.352649999999997,-71.057130000000001,Leather District Park,0.420000000000000,8366,0.419999303487420,0.568076439355360,1.356548883218197
1974,1031,42.352649999999997,-71.057130000000001,Lincoln Street Green,0.180000000000000,8365,0.180000094072368,0.239628716060609,0.572225927074021
1975,1031,42.352649999999997,-71.057130000000001,RFK Greenway I,0.240000000000000,8371,0.077125547144774,0.068679946156887,0.164005577073985
1976,1031,42.352649999999997,-71.057130000000001,RFK Greenway II,0.290000000000000,8502,0.290000248126155,0.396712908698876,0.947338097429977
1977,1032,42.358780000000003,-71.158270000000002,Charles River Reservation,171.689999999999998,8770,7.509503952892046,10.135992628230289,24.202110786699013
1978,1032,42.358780000000003,-71.158270000000002,Leo M. Birmingham Parkway,6.981152380000000,8306,1.338379200445739,1.806431945587065,4.313289056067878
1979,1034,42.334890000000001,-71.088489999999993,Madison Park H.S. Athletic Fields,9.605648240000001,8052,0.215443704715909,0.290670190562183,0.694304678174540
1980,1034,42.334890000000001,-71.088489999999993,Melnea Cass Boulevard I,3.043534610000000,8685,0.129362326971846,0.251229201860673,0.600094594525014
1981,1034,42.334890000000001,-71.088489999999993,Schroeder Plaza,0.280000000000000,8460,0.280000611603485,0.371551242813980,0.887499903476081
1982,1034,42.334890000000001,-71.088489999999993,Southwest Corridor Park,47.680000000000000,8789,1.961493355863464,2.689940098618038,6.425282175883279
1983,1034,42.334890000000001,-71.088489999999993,Whittier Playground,0.275502830000000,8015,0.275502631577607,0.371707978041770,0.887874286558427
1984,1039,42.298650000000002,-71.060649999999995,Doherty/Gibson Playground,5.726272820000000,8068,3.511745704417060,4.735345672624909,11.317426279470691
1985,1040,42.322389999999999,-71.108450000000005,Forbes Street Garden,0.370783020000000,7980,0.370782905775562,0.500163638707140,1.194941765562878
1986,1040,42.322389999999999,-71.108450000000005,Mahoney Square,0.060215150000000,7985,0.060215194091830,0.081227051333284,0.194059680912736
1987,1041,42.344310000000000,-71.067070000000001,Berkeley Street Garden,1.101929040000000,8124,0.904179099588162,1.220118059724936,2.913985177572192
1988,1041,42.344310000000000,-71.067070000000001,Castle Square Parks,1.190000000000000,8631,0.742203039246634,1.001073226065055,2.390844491782689
1989,1041,42.344310000000000,-71.067070000000001,Peters Park I,3.395060580000000,8107,3.250775477854500,4.298083739266105,10.265033132129062
1990,1041,42.344310000000000,-71.067070000000001,Peters Park II,0.421850150000000,8106,0.377194507979396,0.611820226935674,1.461198822867461
1991,1041,42.344310000000000,-71.067070000000001,Watson Park I,0.080000000000000,8595,0.079999810251812,0.111686690616353,0.266739237563218
1992,1041,42.344310000000000,-71.067070000000001,Watson Park II,0.021548040000000,8594,0.021548181924158,0.030833352595184,0.073638720221451
1993,1046,42.332920000000001,-71.081050000000005,Eliot Burying Ground,0.800774880000000,8582,0.800774266453854,1.070686477746297,2.557556691033490
1994,1046,42.332920000000001,-71.081050000000005,Melnea Cass Boulevard I,3.043534610000000,8685,0.933959310410704,1.813803582675907,4.332646003765528
1995,1046,42.332920000000001,-71.081050000000005,Ramsay Park,5.493407720000000,8122,2.960254754418396,3.994011533090302,9.540524824803558
1996,1046,42.332920000000001,-71.081050000000005,Roxbury Heritage State Park I,2.810000000000000,8581,1.033015232155696,1.397078806139479,3.337212454633957
1997,1047,42.311190000000003,-71.108689999999996,Bowditch Garden,0.135763340000000,8229,0.135763240989610,0.183107699604889,0.437539629927024
1998,1047,42.311190000000003,-71.108689999999996,Johnson Park I,2.600857650000000,7984,2.600856823569711,3.507847567475390,8.382074210016524
1999,1047,42.311190000000003,-71.108689999999996,Johnson Park II,0.170635590000000,7983,0.170635597250874,0.230139646279118,0.549923437855328
2000,1047,42.311190000000003,-71.108689999999996,Southwest Corridor Park,47.680000000000000,8789,1.653750181032110,2.267909249734295,5.419215991342851
2001,1048,42.351460000000003,-71.075590000000005,Clarendon Street Playlot,0.332354360000000,7866,0.332353803915070,0.437119552506665,1.043847476275497
2002,1048,42.351460000000003,-71.075590000000005,Commonwealth Avenue Mall I,10.869999999999999,8527,2.264138429510249,3.055673374331421,7.296989855125394
2003,1048,42.351460000000003,-71.075590000000005,Copley Square Park,1.854288210000000,7864,1.299111248771371,1.753188769331836,4.186638785218095
2004,1048,42.351460000000003,-71.075590000000005,Dartmouth Street Mall,0.998565380000000,8167,0.073806977496027,0.100412079234293,0.239785420018916
2005,1049,42.285600000000002,-71.090990000000005,Morton Street,0.760902890000000,8301,0.031838189524095,0.042930252927404,0.102623803999582
2006,1053,42.286250000000003,-71.042240000000007,Pope John Paul II Park I,70.000000000000000,8762,0.803339892051432,1.082959059403450,2.588762917482849
2007,1053,42.286250000000003,-71.042240000000007,Rink Grounds,2.530000000000000,8830,0.075512026120380,0.101638508290517,0.242962094426453
2008,1056,42.327269999999999,-71.083179999999999,Boston Evening Academy Garden,0.220000000000000,8344,0.220000102365580,0.291416835852530,0.696171219143780
2009,1056,42.327269999999999,-71.083179999999999,Boys Club Park,0.815125140000000,8163,0.815125183944476,1.099645655162744,2.626964410416586
2010,1056,42.327269999999999,-71.083179999999999,Phyllis Wheatley/Warren Place,0.150000000000000,8345,0.149999944724198,0.200458959265436,0.478880218611434
2011,1056,42.327269999999999,-71.083179999999999,St James Street Park,0.384893310000000,8022,0.384893240273046,0.530065890643372,1.266284482968133
2012,1056,42.327269999999999,-71.083179999999999,Winthrop Street Garden,0.111240600000000,8051,0.111240379744706,0.150067101044026,0.358498150532593
2013,1057,42.367170000000002,-71.065020000000004,Nashua Street Park,2.033536910000000,8172,1.415753703721874,1.911134580807244,4.562691206035094
2014,1057,42.367170000000002,-71.065020000000004,South Bank Park,2.390000000000000,8338,0.341747705606396,0.462297216000688,1.103700107362346
2015,1057,42.367170000000002,-71.065020000000004,West End Park,0.140000000000000,8363,0.139999761743254,0.183644015850184,0.438436384635288
2016,1057,42.367170000000002,-71.065020000000004,West End Recreation Complex,3.420000000000000,8400,0.357048300391720,0.482042844361255,1.150841321687680
2017,1058,42.337319999999998,-71.035470000000004,Christopher Lee Playground,5.437988680000000,8057,0.366740888113880,0.494832337761361,1.181928304821315
2018,1058,42.337319999999998,-71.035470000000004,Medal of Honor Park,6.182693280000000,8056,0.258069822836404,0.348201556667888,0.831694382526582
2019,1059,42.351100000000002,-71.059370000000001,China Gate Plaza,0.140000000000000,8503,0.139999216662001,0.193424225282208,0.461902275990358
2020,1059,42.351100000000002,-71.059370000000001,Chinatown Park,0.610000000000000,8367,0.609999643023481,1.136208816826494,2.713297353145679
2021,1059,42.351100000000002,-71.059370000000001,Leather District Park,0.420000000000000,8366,0.023207328231422,0.031389424409014,0.074958793581296
