FID,Row_Labels,Average_of,Average__1,comm,ind
239,356,39.963870000000000,-75.172860000000000,1,0
240,358,39.917290000000001,-75.154499999999999,0,0
241,359,39.965089999999996,-75.205470000000005,0,0
242,360,39.959200000000003,-75.175539999999998,0,0
243,361,39.991849999999999,-75.138350000000003,0,0
244,363,39.933959999999999,-75.148139999999998,0,0
245,365,39.940030000000000,-75.166280000000000,0,0
246,366,39.949970000000000,-75.178730000000002,1,0
247,367,39.916150000000002,-75.166160000000005,0,0
248,369,39.970190000000002,-75.130459999999999,0,0
249,370,39.953240000000001,-75.143020000000007,0,0
250,371,40.018000000000001,-75.149299999999997,0,0
251,372,39.897550000000003,-75.252369999999999,1,0
252,373,39.951599999999999,-75.182239999999993,1,1
253,375,39.937970000000000,-75.233959999999996,0,0
254,376,39.960129999999999,-75.137200000000007,1,0
255,377,39.941350000000000,-75.162199999999999,0,0
256,380,39.944640000000000,-75.173490000000001,0,0
257,381,39.942210000000003,-75.153909999999996,0,0
258,382,39.918160000000000,-75.171040000000005,0,0
259,383,40.034269999999999,-75.074659999999994,0,0
260,385,39.895519999999998,-75.233490000000003,0,1
261,387,39.999099999999999,-75.120930000000001,0,1
262,388,39.953159999999997,-75.153139999999993,1,0
263,389,39.995060000000002,-75.163190000000000,0,1
264,390,40.018419999999999,-75.173230000000004,0,1
265,391,39.959690000000002,-75.247410000000002,0,0
266,392,40.031219999999998,-75.086690000000004,0,0
267,393,39.993670000000002,-75.139849999999996,0,0
268,395,39.964520000000000,-75.134299999999996,0,0
269,396,39.970500000000001,-75.149969999999996,0,0
270,398,40.032110000000003,-75.084249999999997,1,0
271,400,39.945979999999999,-75.184250000000006,1,0
272,404,39.896670000000000,-75.170879999999997,0,1
273,407,40.027500000000003,-75.062420000000003,0,0
274,409,39.954129999999999,-75.202579999999998,1,0
275,410,39.949950000000001,-75.169100000000000,1,0
276,412,39.957220000000000,-75.142089999999996,0,0
277,413,39.947470000000003,-75.187659999999994,0,1
278,414,40.031570000000002,-75.063260000000000,1,0
279,416,39.953840000000000,-75.200260000000000,1,0
280,417,39.930199999999999,-75.166240000000002,0,0
281,418,39.971629999999998,-75.121170000000006,0,1
282,419,39.921900000000001,-75.170230000000004,1,0
283,420,39.951659999999997,-75.170330000000007,1,0
284,421,39.933509999999998,-75.159019999999998,0,0
285,422,39.925559999999997,-75.169460000000001,1,0
286,424,39.956640000000000,-75.165989999999994,1,0
287,426,40.022930000000002,-75.148250000000004,0,0
