FID,Row_Labels,Average_of,Average__1,Comm,industry
169,259,42.331470000000003,-71.035259999999994,0,0
170,262,42.317030000000003,-71.104879999999994,0,0
171,266,42.273319999999998,-71.093639999999994,1,0
172,267,42.332960000000000,-71.101320000000001,1,0
173,268,42.279370000000000,-71.093090000000004,1,0
174,269,42.285989999999998,-71.147779999999997,1,0
175,270,42.279550000000000,-71.135540000000006,1,0
176,272,42.348360000000000,-71.083730000000003,1,0
177,274,42.357579999999999,-71.056410000000000,1,0
178,275,42.358789999999999,-71.070719999999994,1,0
179,276,42.309680000000000,-71.115480000000005,1,0
180,277,42.347059999999999,-71.062970000000007,0,0
181,278,42.318579999999997,-71.116470000000007,0,0
182,279,42.350059999999999,-71.089100000000002,1,0
183,280,42.347250000000003,-71.073539999999994,1,0
184,281,42.331969999999998,-71.081689999999995,0,0
185,282,42.340089999999996,-71.161180000000002,0,0
186,283,42.347980000000000,-71.068029999999993,1,0
187,284,42.355469999999997,-71.072460000000007,0,0
188,285,42.332059999999998,-71.079350000000005,0,1
189,286,42.300330000000002,-71.066230000000004,1,0
190,287,42.341360000000002,-71.069640000000007,0,0
191,288,42.351469999999999,-71.080460000000002,1,0
192,289,42.318249999999999,-71.101249999999993,0,1
193,290,42.348840000000003,-71.097219999999993,1,0
194,291,42.335830000000001,-71.107460000000003,0,0
195,292,42.349119999999999,-71.039599999999993,1,1
196,295,42.349460000000001,-71.132750000000001,1,0
197,299,42.359630000000003,-71.051800000000000,0,0
198,301,42.292810000000003,-71.050659999999993,1,0
199,302,42.295520000000003,-71.072119999999998,1,0
200,303,42.335439999999998,-71.090249999999997,0,0
201,304,42.343750000000000,-71.142880000000005,1,0
202,306,42.285480000000000,-71.080399999999997,0,0
203,307,42.299939999999999,-71.113560000000007,1,0
204,309,42.340589999999999,-71.081729999999993,1,0
205,310,42.344360000000002,-71.082970000000003,0,0
206,313,42.299759999999999,-71.060310000000001,1,0
207,315,42.316969999999998,-71.039699999999996,0,0
208,317,42.282339999999998,-71.099630000000005,0,0
209,318,42.337780000000002,-71.105140000000006,1,0
210,319,42.361130000000003,-71.066000000000003,1,0
211,320,42.313229999999997,-71.114099999999993,1,0
212,321,42.318269999999998,-71.090999999999994,0,0
213,323,42.355440000000002,-71.146240000000006,0,1
214,324,42.339660000000002,-71.074600000000004,0,0
215,325,42.343190000000000,-71.078530000000001,0,0
216,326,42.283729999999998,-71.156970000000001,1,0
217,329,42.312600000000003,-71.122169999999997,0,0
218,330,42.351250000000000,-71.073059999999998,1,0
219,331,42.356980000000000,-71.152289999999994,0,1
220,332,42.351019999999998,-71.066890000000001,1,0
221,333,42.361559999999997,-71.055179999999993,0,0
222,335,42.352780000000003,-71.130189999999999,1,0
223,336,42.341020000000000,-71.035589999999999,0,1
224,337,42.330520000000000,-71.070030000000003,0,1
225,338,42.332850000000001,-71.074359999999999,0,1
226,340,42.293300000000002,-71.071860000000001,1,0
227,341,42.277799999999999,-71.091049999999996,0,0
228,343,42.354480000000002,-71.059139999999999,1,0
229,344,42.324019999999997,-71.082780000000000,0,0
230,348,42.341600000000000,-71.057130000000001,0,1
231,350,42.352370000000001,-71.064560000000000,0,0
232,351,42.337960000000002,-71.108310000000003,1,0
233,352,42.298240000000000,-71.057050000000004,0,1
234,353,42.274340000000002,-71.109189999999998,0,0
235,354,42.340350000000001,-71.151240000000001,1,0
236,355,42.328609999999998,-71.082750000000004,0,0
237,356,42.271320000000003,-71.104740000000007,0,0
238,357,42.282660000000000,-71.055769999999995,1,0
239,358,42.291159999999998,-71.075190000000006,0,0
240,359,42.271210000000004,-71.092410000000001,1,0
241,362,42.345880000000001,-71.141300000000001,0,0
242,363,42.347310000000000,-71.075909999999993,1,0
243,364,42.334479999999999,-71.089460000000003,0,0
244,365,42.352849999999997,-71.073849999999993,1,0
245,366,42.352670000000003,-71.071079999999995,1,0
246,367,42.348979999999997,-71.097179999999994,1,0
247,368,42.337359999999997,-71.078040000000001,0,0
248,371,42.339309999999998,-71.080359999999999,0,0
249,372,42.341639999999998,-71.083250000000007,1,0
250,374,42.349020000000003,-71.091589999999997,0,0
251,375,42.358840000000001,-71.056960000000004,1,0
252,376,42.359020000000001,-71.147660000000002,1,0
253,377,42.301909999999999,-71.085660000000004,1,0
254,379,42.262909999999998,-71.155420000000007,1,0
255,384,42.348920000000000,-71.160439999999994,1,0
256,385,42.318469999999998,-71.044079999999994,1,0
257,386,42.357450000000000,-71.148300000000006,1,1
258,388,42.346229999999998,-71.070610000000002,1,0
259,389,42.314610000000002,-71.099480000000000,1,0
260,390,42.288390000000000,-71.135419999999996,1,0
261,391,42.307580000000002,-71.058419999999998,1,1
262,397,42.283420000000000,-71.131379999999993,0,0
263,398,42.317110000000000,-71.056709999999995,0,0
264,401,42.348599999999998,-71.106890000000007,0,1
265,403,42.344389999999997,-71.053110000000004,0,1
266,405,42.347000000000001,-71.079669999999993,0,0
267,406,42.359040000000000,-71.123230000000007,0,0
268,407,42.335799999999999,-71.065889999999996,0,1
269,408,42.308390000000003,-71.083209999999994,1,0
270,411,42.318379999999998,-71.098309999999998,1,1
271,414,42.308100000000003,-71.058319999999995,1,1
272,415,42.355530000000002,-71.132760000000005,1,1
273,418,42.380710000000001,-71.023520000000005,1,1
274,419,42.308079999999997,-71.065029999999993,1,0
275,420,42.267499999999998,-71.094189999999998,1,0
276,421,42.356749999999998,-71.057320000000004,1,0
277,422,42.308810000000001,-71.118039999999993,0,0
278,423,42.353670000000001,-71.053629999999998,1,1
279,424,42.353020000000001,-71.056079999999994,1,0
280,427,42.277949999999997,-71.053719999999998,0,0
281,429,42.355499999999999,-71.056529999999995,1,0
282,432,42.352370000000001,-71.052279999999996,1,1
283,435,42.330280000000002,-71.047399999999996,0,0
284,437,42.343359999999997,-71.085780000000000,1,0
285,438,42.305399999999999,-71.080510000000004,0,0
286,439,42.357419999999998,-71.058340000000001,1,0
287,441,42.348410000000001,-71.064139999999995,0,0
288,443,42.242719999999998,-71.126329999999996,1,0
289,444,42.346240000000002,-71.135589999999993,0,0
290,445,42.330640000000002,-71.088269999999994,0,0
291,446,42.317340000000002,-71.098290000000006,1,0
292,447,42.273899999999998,-71.067620000000005,1,0
293,448,42.345379999999999,-71.081760000000003,0,0
294,450,42.288910000000001,-71.134159999999994,1,0
295,451,42.300849999999997,-71.075940000000003,1,0
296,452,42.352209999999999,-71.124080000000006,1,0
297,453,42.345550000000003,-71.042990000000003,0,1
298,454,42.327660000000002,-71.095680000000002,0,0
299,455,42.288249999999998,-71.144570000000002,0,0
300,456,42.296880000000002,-71.066990000000004,0,0
301,459,42.360300000000002,-71.057060000000007,0,0
302,460,42.341749999999998,-71.145870000000002,1,0
303,461,42.345950000000002,-71.061269999999993,1,1
304,462,42.335439999999998,-71.064830000000001,0,1
305,463,42.295929999999998,-71.092290000000006,0,0
306,464,42.321460000000002,-71.119619999999998,0,0
307,465,42.357709999999997,-71.063239999999993,0,0
308,466,42.357779999999998,-71.070279999999997,1,0
309,469,42.308259999999997,-71.075130000000001,0,1
310,470,42.352510000000002,-71.067509999999999,0,0
311,471,42.268689999999999,-71.093750000000000,1,0
312,472,42.347290000000001,-71.087739999999997,1,0
313,473,42.350459999999998,-71.060879999999997,0,0
314,474,42.306300000000000,-71.124189999999999,0,0
315,475,42.358649999999997,-71.160899999999998,0,0
316,476,42.357340000000001,-71.128100000000003,1,0
317,478,42.263910000000003,-71.154340000000005,0,0
318,480,42.311300000000003,-71.070120000000003,0,0
319,481,42.349980000000002,-71.084530000000001,1,0
320,482,42.341830000000002,-71.055520000000001,0,1
321,484,42.273470000000003,-71.129440000000002,0,0
322,485,42.261270000000003,-71.157039999999995,1,0
323,486,42.309379999999997,-71.082700000000003,1,0
324,488,42.335880000000003,-71.100200000000001,0,0
325,490,42.252580000000002,-71.118279999999999,1,0
326,491,42.361390000000000,-71.070849999999993,1,0
327,493,42.300220000000003,-71.104699999999994,0,0
328,495,42.278950000000002,-71.054180000000002,0,0
329,497,42.287219999999998,-71.090459999999993,1,0
330,498,42.355190000000000,-71.051969999999997,1,1
331,499,42.307519999999997,-71.076009999999997,0,1
332,501,42.300130000000003,-71.127870000000001,0,0
333,502,42.294919999999998,-71.087919999999997,1,0
334,503,42.332310000000000,-71.071240000000003,0,1
335,505,42.277220000000000,-71.093480000000000,1,0
336,508,42.290570000000002,-71.168189999999996,0,0
337,509,42.366399999999999,-71.051400000000001,0,0
338,511,42.272219999999997,-71.067999999999998,1,0
339,512,42.350310000000000,-71.079880000000003,1,0
340,514,42.320000000000000,-71.088499999999996,0,0
341,518,42.342860000000002,-71.054289999999995,0,1
342,519,42.327959999999997,-71.083060000000003,0,0
343,521,42.271340000000002,-71.082490000000007,0,0
344,522,42.312959999999997,-71.057209999999998,1,0
345,523,42.340400000000002,-71.073430000000002,0,0
346,524,42.358669999999996,-71.052180000000007,0,0
347,525,42.354089999999999,-71.058620000000005,1,0
348,526,42.279049999999998,-71.116709999999998,0,0
349,527,42.301540000000003,-71.059799999999996,1,0
350,528,42.317970000000003,-71.082030000000003,1,0
351,532,42.308360000000000,-71.122569999999996,0,0
352,533,42.303390000000000,-71.078530000000001,1,0
353,534,42.342199999999998,-71.084069999999997,1,0
354,535,42.353209999999997,-71.074029999999993,1,0
355,537,42.353859999999997,-71.062190000000001,0,0
356,538,42.343710000000002,-71.051429999999996,0,1
357,540,42.300989999999999,-71.114559999999997,1,0
358,541,42.334949999999999,-71.075140000000005,0,1
359,544,42.308880000000002,-71.102450000000005,0,0
360,545,42.343960000000003,-71.089910000000003,0,0
361,547,42.342829999999999,-71.073759999999993,0,0
362,549,42.351540000000000,-71.062809999999999,0,0
363,553,42.347980000000000,-71.045379999999994,0,1
364,557,42.350459999999998,-71.128020000000006,1,0
365,558,42.313330000000001,-71.095089999999999,0,0
366,560,42.354810000000001,-71.074809999999999,0,0
367,562,42.293660000000003,-71.062089999999998,0,0
368,563,42.343600000000002,-71.091130000000007,0,0
369,564,42.312399999999997,-71.101640000000003,0,1
370,565,42.369790000000002,-71.025549999999996,0,0
371,566,42.282879999999999,-71.157309999999995,1,0
372,567,42.347799999999999,-71.078630000000004,1,0
373,568,42.278070000000000,-71.123609999999999,0,0
374,569,42.312700000000000,-71.068430000000006,0,0
375,570,42.280799999999999,-71.084450000000004,1,0
376,573,42.359870000000001,-71.057040000000001,0,0
377,574,42.360930000000003,-71.052800000000005,1,0
378,576,42.341650000000001,-71.148529999999994,0,0
379,577,42.320010000000003,-71.059690000000003,1,0
380,579,42.316369999999999,-71.082899999999995,0,0
381,580,42.376539999999999,-71.065809999999999,1,0
382,582,42.351120000000002,-71.115780000000001,1,0
383,583,42.342750000000002,-71.103260000000006,1,0
384,585,42.321019999999997,-71.116569999999996,0,0
385,586,42.318590000000000,-71.063509999999994,1,0
386,588,42.341470000000001,-71.086510000000004,1,0
387,589,42.280360000000002,-71.054730000000006,0,0
388,591,42.356070000000003,-71.054890000000000,1,0
389,593,42.358860000000000,-71.147509999999997,1,1
390,594,42.344470000000001,-71.063940000000002,0,0
391,596,42.342030000000001,-71.087329999999994,1,0
392,597,42.295630000000003,-71.157640000000001,1,0
393,598,42.354050000000001,-71.052869999999999,1,1
394,599,42.293379999999999,-71.162549999999996,0,0
395,600,42.356020000000001,-71.069410000000005,1,0
396,601,42.353230000000003,-71.056870000000004,1,0
397,603,42.283360000000002,-71.049289999999999,1,0
398,604,42.352049999999998,-71.073459999999997,1,0
399,606,42.350850000000001,-71.113799999999998,1,0
400,607,42.310929999999999,-71.114590000000007,1,0
401,608,42.314120000000003,-71.046869999999998,0,0
402,609,42.337670000000003,-71.149839999999998,1,0
403,613,42.344299999999997,-71.074489999999997,0,0
404,614,42.273260000000001,-71.064099999999996,0,0
405,616,42.336489999999998,-71.076989999999995,0,0
406,618,42.322730000000000,-71.104879999999994,1,0
407,620,42.331049999999998,-71.080889999999997,0,1
408,621,42.356679999999997,-71.050770000000000,1,0
409,622,42.272900000000000,-71.143709999999999,0,0
410,623,42.346100000000000,-71.152450000000002,0,0
411,624,42.348909999999997,-71.088530000000006,1,0
412,625,42.298169999999999,-71.086920000000006,1,0
413,626,42.349290000000003,-71.100589999999997,1,0
414,627,42.304169999999999,-71.082380000000001,0,0
415,628,42.334780000000002,-71.084590000000006,0,0
416,629,42.324919999999999,-71.098330000000004,1,0
417,630,42.357810000000001,-71.051929999999999,0,0
418,631,42.329259999999998,-71.110929999999996,0,0
419,633,42.291429999999998,-71.057190000000006,0,0
420,634,42.334009999999999,-71.048770000000005,0,0
421,636,42.276110000000003,-71.093509999999995,1,0
422,637,42.299370000000003,-71.073639999999997,1,0
423,640,42.353110000000001,-71.048429999999996,1,1
424,643,42.349860000000000,-71.074809999999999,1,0
425,644,42.329050000000002,-71.075019999999995,0,1
426,645,42.307600000000001,-71.089070000000007,0,0
427,647,42.342399999999998,-71.140429999999995,1,0
428,648,42.340820000000001,-71.067790000000002,0,0
429,650,42.372909999999997,-71.035280000000000,0,0
430,653,42.352480000000000,-71.061419999999998,0,0
431,654,42.309579999999997,-71.073149999999998,0,1
432,655,42.353230000000003,-71.059439999999995,1,0
433,656,42.339619999999996,-71.072500000000005,0,0
434,658,42.350859999999997,-71.082750000000004,1,0
435,659,42.353420000000000,-71.057760000000002,1,0
436,660,42.320729999999998,-71.081710000000001,1,0
437,662,42.340699999999998,-71.048609999999996,0,1
438,663,42.283929999999998,-71.046750000000003,1,0
439,664,42.340170000000001,-71.068640000000002,0,0
440,667,42.326689999999999,-71.071479999999994,0,1
441,670,42.340310000000002,-71.063869999999994,0,1
442,672,42.278640000000003,-71.119180000000000,1,0
443,673,42.342599999999997,-71.153850000000006,1,0
444,675,42.323390000000003,-71.089600000000004,0,0
445,676,42.326749999999997,-71.111279999999994,0,0
446,677,42.319569999999999,-71.098360000000000,0,1
447,678,42.290849999999999,-71.089359999999999,1,0
448,679,42.348160000000000,-71.076520000000002,0,0
449,680,42.357160000000000,-71.152979999999999,0,1
450,681,42.333570000000002,-71.073409999999996,0,1
451,682,42.352539999999998,-71.140270000000001,1,0
452,684,42.340919999999997,-71.150409999999994,1,0
453,686,42.341110000000000,-71.056349999999995,0,1
454,688,42.351120000000002,-71.080280000000002,1,0
455,689,42.290070000000000,-71.045550000000006,1,0
456,690,42.349930000000001,-71.092870000000005,0,0
457,693,42.330329999999996,-71.044110000000003,0,0
458,698,42.350369999999998,-71.109549999999999,0,0
459,699,42.346620000000001,-71.064589999999995,0,0
460,700,42.333759999999998,-71.064610000000002,0,1
461,701,42.344119999999997,-71.104200000000006,1,0
462,702,42.355629999999998,-71.153580000000005,0,1
463,704,42.351909999999997,-71.070689999999999,1,0
464,705,42.331780000000002,-71.097160000000002,1,1
465,707,42.319560000000003,-71.070670000000007,0,0
466,708,42.336309999999997,-71.110029999999995,1,0
467,709,42.329569999999997,-71.060910000000007,1,1
468,712,42.324390000000001,-71.114660000000001,0,0
469,715,42.339599999999997,-71.049930000000003,0,0
470,717,42.252220000000001,-71.130949999999999,1,1
471,718,42.363199999999999,-71.129750000000001,1,0
472,719,42.349539999999998,-71.057060000000007,0,0
473,720,42.346480000000000,-71.090829999999997,0,0
474,721,42.349660000000000,-71.103639999999999,0,1
475,722,42.323650000000001,-71.052180000000007,0,1
476,723,42.351840000000003,-71.170890000000000,0,0
477,726,42.338590000000003,-71.048360000000002,0,0
478,727,42.341369999999998,-71.047830000000005,0,1
479,730,42.360160000000000,-71.136600000000001,1,1
480,731,42.296799999999998,-71.078469999999996,0,0
481,732,42.277900000000002,-71.066500000000005,0,0
482,733,42.255620000000000,-71.125590000000003,1,0
483,735,42.267659999999999,-71.093789999999998,1,0
484,737,42.336709999999997,-71.098100000000002,1,0
485,738,42.332070000000002,-71.071449999999999,0,1
486,739,42.320430000000002,-71.077749999999995,0,0
487,740,42.314610000000002,-71.067329999999998,1,0
488,741,42.348509999999997,-71.137670000000000,1,0
489,742,42.334479999999999,-71.047780000000003,0,0
490,744,42.349229999999999,-71.045349999999999,0,0
491,745,42.347870000000000,-71.085560000000001,1,0
492,746,42.306100000000001,-71.078329999999994,0,0
493,747,42.310459999999999,-71.114819999999995,1,0
494,750,42.351439999999997,-71.118409999999997,1,0
495,753,42.295209999999997,-71.056209999999993,0,0
496,754,42.289070000000002,-71.067009999999996,1,0
497,755,42.352640000000001,-71.076170000000005,1,0
498,756,42.286670000000001,-71.064040000000006,0,0
499,757,42.358820000000001,-71.057829999999996,1,0
500,758,42.281829999999999,-71.122429999999994,0,0
501,759,42.352510000000002,-71.059399999999997,1,0
502,760,42.321449999999999,-71.054150000000007,0,1
503,764,42.296070000000000,-71.116219999999998,1,1
504,765,42.351059999999997,-71.064920000000001,0,0
505,769,42.324109999999997,-71.098550000000003,1,0
506,770,42.287700000000001,-71.106700000000004,1,0
507,773,42.354140000000001,-71.054109999999994,1,1
508,774,42.339619999999996,-71.157790000000006,0,0
509,779,42.335549999999998,-71.039950000000005,0,0
510,780,42.349159999999998,-71.080770000000001,1,0
511,783,42.299309999999998,-71.058120000000002,0,1
512,785,42.346969999999999,-71.070970000000003,1,0
513,786,42.333260000000003,-71.107069999999993,1,0
