OBJECTID,Row_Labels,Average_of,Average__1,comm,ind,OBJECTID_1,ASSET_NAME,ACREAGE,ACREAGE_1,AREA,PERCENTAGE
79,21,39.959009999999999,-75.173940000000002,0,0,1010,Sister Cities Park,1.729054770000000,0.414033986928149,0.538984009420237,0.333444818024378
80,21,39.959009999999999,-75.173940000000002,0,0,1012,East Triangle,0.184851950000000,0.156391228896600,0.203586651006793,0.125949773296937
81,21,39.959009999999999,-75.173940000000002,0,0,1013,West Triangle,0.152973430000000,0.152973015311597,0.199140041478979,0.123198858837671
82,21,39.959009999999999,-75.173940000000002,0,0,1024,Logan Square,9.209228050000000,7.574187409075561,9.860012602188839,6.099939980392840
83,21,39.959009999999999,-75.173940000000002,0,0,1033,Benjamin Franklin Parkway,64.509472470000006,26.956406574497521,35.093187021090287,21.710553848767987
84,21,39.959009999999999,-75.173940000000002,0,0,1070,Former BSA Building,0.154628280000000,0.154628579350834,0.201296212783365,0.124532783658545
85,21,39.959009999999999,-75.173940000000002,0,0,1111,Barnes Museum Building,0.909827730000000,0.909825520249608,1.184445414453786,0.732762343185618
86,21,39.959009999999999,-75.173940000000002,0,0,1151,Galusha Pennypacker Park,1.154618500000000,0.982340459840298,1.278813013821042,0.791143271837396
87,21,39.959009999999999,-75.173940000000002,0,0,1152,Shakespeare Park,1.183946240000000,1.183945871384982,1.541268860717681,0.953512731001908
88,23,39.936000000000000,-75.146860000000004,0,0,247,Sacks Playground,3.738516020000000,0.005211555322099,0.006781946089960,0.004197069825083
89,23,39.936000000000000,-75.146860000000004,0,0,250,Rizzo Ice Rink,1.278129410000000,1.156781676656926,1.505330975485903,0.931587943957194
90,23,39.936000000000000,-75.146860000000004,0,0,269,Weccacoe Playground,0.903741930000000,0.417005933624186,0.542694606924471,0.335851557760069
91,23,39.936000000000000,-75.146860000000004,0,0,279,Jefferson Square,3.128182290000000,1.941570699918648,2.526613462885426,1.563618021149292
92,23,39.936000000000000,-75.146860000000004,0,0,330,Shot Tower Playground,1.438159320000000,1.438158853572594,1.871546427436992,1.158223750623132
93,23,39.936000000000000,-75.146860000000004,0,0,372,Mario Lanza Park,0.506920240000000,0.506920336268006,0.659703976133344,0.408263883992736
94,23,39.936000000000000,-75.146860000000004,0,0,404,Mummers Museum,0.249968430000000,0.249968457202826,0.325288992698847,0.201308090270586
95,23,39.936000000000000,-75.146860000000004,0,0,421,Beck Park,0.074275520000000,0.074275751743389,0.096660838660964,0.059819450616353
96,23,39.936000000000000,-75.146860000000004,0,0,428,I-95 Park,12.845365760000000,1.966330504458883,2.559180321361381,1.583772321580774
97,23,39.936000000000000,-75.146860000000004,0,0,488,Rizzo Ice Rink House,0.316672230000000,0.316671890892779,0.412089523151022,0.255025398301290
98,23,39.936000000000000,-75.146860000000004,0,0,492,Shot Tower Recreation Center Building,0.164358910000000,0.164359693989352,0.213888803312225,0.132367056652629
99,23,39.936000000000000,-75.146860000000004,0,0,496,Weccacoe Playground Building,0.062378930000000,0.032113467211567,0.041792595166518,0.025863732586280
100,23,39.936000000000000,-75.146860000000004,0,0,1231,Mummers Museum Building,0.145994110000000,0.145993664067328,0.189984447521274,0.117573625822094
101,24,40.003729999999997,-75.169030000000006,0,1,359,Vincent G. Panati Playground,0.701425080000000,0.701424735758206,0.913698141800827,0.564899341342523
102,24,40.003729999999997,-75.169030000000006,0,1,690,Vincent G. Panati Playground Building,0.090833670000000,0.090833578014288,0.118322822027956,0.073153792452334
103,25,39.936920000000001,-75.150229999999993,0,0,247,Sacks Playground,3.738516020000000,3.143869152401729,4.091206902297396,2.531847562307928
104,25,39.936920000000001,-75.150229999999993,0,0,269,Weccacoe Playground,0.903741930000000,0.903742292399160,1.176136904988483,0.727853522676478
105,25,39.936920000000001,-75.150229999999993,0,0,279,Jefferson Square,3.128182290000000,2.519935827423522,3.279254156154279,2.029369777604034
106,25,39.936920000000001,-75.150229999999993,0,0,330,Shot Tower Playground,1.438159320000000,0.254142851786546,0.330728518020245,0.204671680541275
107,25,39.936920000000001,-75.150229999999993,0,0,372,Mario Lanza Park,0.506920240000000,0.506920336268006,0.659703976133344,0.408258478171838
108,25,39.936920000000001,-75.150229999999993,0,0,421,Beck Park,0.074275520000000,0.074275751743389,0.096660838660964,0.059818658547182
109,25,39.936920000000001,-75.150229999999993,0,0,489,Sacks Playground Building,0.016787640000000,0.016787643034569,0.021846199724654,0.013519542970925
110,25,39.936920000000001,-75.150229999999993,0,0,496,Weccacoe Playground Building,0.062378930000000,0.062378875697281,0.081180119287151,0.050238399580726
111,25,39.936920000000001,-75.150229999999993,0,0,1315,South 6th Street Garden,0.068190360000000,0.068190150373284,0.088739943206433,0.054916804320110
112,30,39.960619999999999,-75.228620000000006,1,0,268,Ann P. Nichols Park,0.885608910000000,0.885609042553278,1.152968029168493,0.713272181162868
113,30,39.960619999999999,-75.228620000000006,1,0,1052,Ann P. Nichols Park Gazebo,0.014279830000000,0.014279873443785,0.018590880547364,0.011501062980315
114,31,39.917510000000000,-75.156139999999994,0,0,215,Lawrence E. Murphy Recreation Center,4.950025270000000,4.927984653091666,6.411173338149007,3.968668620040642
115,31,39.917510000000000,-75.156139999999994,0,0,232,Mifflin Square,4.171896020000000,4.171894875055965,5.427856205761364,3.359971952359858
116,31,39.917510000000000,-75.156139999999994,0,0,464,Lawrence E. Murphy Recreation Center Building,0.238394800000000,0.238394978414259,0.310147495242037,0.191988668381043
117,31,39.917510000000000,-75.156139999999994,0,0,929,Mifflin Square Utility Shed,0.002532360000000,0.002532366172393,0.003294751544869,0.002039529486615
118,32,39.941540000000003,-75.163759999999996,0,0,261,Hawthorne Cultural Center,1.022387150000000,1.022388290970152,1.330549884927037,0.823357452473504
119,32,39.941540000000003,-75.163759999999996,0,0,264,Ridgway Park,1.015508800000000,1.015508113798154,1.321614719645126,0.817828283663462
120,32,39.941540000000003,-75.163759999999996,0,0,273,Hawthorne Park,0.874580500000000,0.874581222224466,1.138231082402556,0.704348671891035
121,32,39.941540000000003,-75.163759999999996,0,0,318,Seger Park Playground,1.911304920000000,0.106643691021584,0.138798247418526,0.085889730777416
122,32,39.941540000000003,-75.163759999999996,0,0,497,Hawthorne Cultural Center Building,0.214421290000000,0.214420902729207,0.279050612154381,0.172679283758836
123,32,39.941540000000003,-75.163759999999996,0,0,1050,Ridgway Park Pool Building,0.008054590000000,0.008054492267091,0.010482389680024,0.006486606598183
124,33,39.956049999999998,-75.146039999999999,0,0,119,Franklin Square,7.164952180000000,4.567252609146794,5.945397333708817,3.678302683576459
125,33,39.956049999999998,-75.146039999999999,0,0,520,Franklin Square Storage Facility,0.008021830000000,0.008021849941853,0.010442367026482,0.006460491116148
126,33,39.956049999999998,-75.146039999999999,0,0,521,Franklin Square Maintenance Building & Restooms,0.016219830000000,0.016219804618784,0.021114003645253,0.013062826907976
127,33,39.956049999999998,-75.146039999999999,0,0,1102,Franklin Square Mini Golf Building 1,0.014466980000000,0.014467074519526,0.018832521816589,0.011651318095045
128,33,39.956049999999998,-75.146039999999999,0,0,1103,Franklin Square Mini Golf Building 2,0.014427660000000,0.014427721816584,0.018781286540793,0.011619619817894
129,33,39.956049999999998,-75.146039999999999,0,0,1106,SquareBurger,0.014435250000000,0.014435339622900,0.018791138568734,0.011625715077602
130,33,39.956049999999998,-75.146039999999999,0,0,1372,Vine Street Park,11.868121490000000,7.161965849550206,9.323283256019936,5.768135566974569
131,34,39.939180000000000,-75.149730000000005,0,0,269,Weccacoe Playground,0.903741930000000,0.903742292399160,1.176136904988482,0.727829878059488
132,34,39.939180000000000,-75.149730000000005,0,0,372,Mario Lanza Park,0.506920240000000,0.506920336268006,0.659703976133344,0.408245215729535
