OBJECTID,Row_Labels,Average_of,Average__1,comm,industry,acres,park,acres_1,AREA,PERCENTAGE
41,55,41.805750000000003,-87.616500000000002,0,0,0.750000000000000,HARDING (GEORGE),0.749999499758824,0.997278807889852,0.600248199146398
42,59,41.867420000000003,-87.627430000000004,1,0,1.300000000000000,JONES (MARY RICHARDSON),1.299999643127659,1.725065982344515,1.037308051331186
43,59,41.867420000000003,-87.627430000000004,1,0,1.460000000000000,DEARBORN (HENRY),0.411306365649417,0.545642174839508,0.328102824413498
44,59,41.867420000000003,-87.627430000000004,1,0,1.780000000000000,ROOSEVELT (THEODORE),1.779999033095180,2.215514156713908,1.332221895346951
45,59,41.867420000000003,-87.627430000000004,1,0,295.449999999999989,GRANT (ULYSSES),4.424238340775910,6.286648421098071,3.780255995907268
46,61,41.903269999999999,-87.672389999999993,0,0,0.660000000000000,DEAN (JOHN),0.016014953597038,0.021377083851380,0.012847257961683
47,63,41.877150000000000,-87.720609999999994,0,0,175.900000000000006,GARFIELD (JAMES),50.188833555257744,65.958514609884602,39.655897958938553
48,64,41.927970000000002,-87.706890000000001,0,0,0.160000000000000,NEIGHBORS' GARDEN,0.072180811677667,0.095141054641753,0.057156332629950
49,66,41.907840000000000,-87.631580000000000,0,0,1209.980000000000018,LINCOLN (ABRAHAM),0.459068521897890,0.605574993855240,0.363914427019420
50,67,41.874479999999998,-87.624229999999997,1,0,295.449999999999989,GRANT (ULYSSES),46.205308331837685,65.655714339240205,39.475471565875289
51,68,41.895840000000000,-87.681939999999997,0,0,0.340000000000000,SUPERIOR,0.340000239881526,0.458262624870278,0.275439482716869
52,72,41.910100000000000,-87.706909999999993,0,0,16.760000000000002,PARK NO. 572,0.002802053116427,0.003231096734355,0.001941628568386
53,72,41.910100000000000,-87.706909999999993,0,0,210.849999999999994,HUMBOLDT (BARON VON),30.046684292746033,37.668579300359660,22.635778409987289
54,73,41.748420000000003,-87.540549999999996,0,1,70.299999999999997,PARK NO. 566,34.733461147787779,47.152134762049542,28.405214207293294
55,73,41.748420000000003,-87.540549999999996,0,1,109.129999999999995,RAINBOW BEACH,0.008183276889383,0.014257570368758,0.008588992681750
56,76,41.915619999999997,-87.634360000000001,0,0,0.060000000000000,EUGENIE TRIANGLE,0.060000023539017,0.074702350792970,0.044886264324957
57,76,41.915619999999997,-87.634360000000001,0,0,1209.980000000000018,LINCOLN (ABRAHAM),59.719012450151602,78.777652730425132,47.334983515542959
58,77,41.838039999999999,-87.646270000000001,0,0,0.070000000000000,PARK NO. 594,0.070000157493794,0.093520058610845,0.056260466658714
59,77,41.838039999999999,-87.646270000000001,0,0,0.420000000000000,HUMBERT (JAMES),0.419999767043047,0.548072490520845,0.329713374195114
60,77,41.838039999999999,-87.646270000000001,0,0,10.300000000000001,MCGUANE (JOHN),8.771641130841960,11.263406454076026,6.775920724237094
61,78,41.900250000000000,-87.711479999999995,0,1,0.390000000000000,GRAND,0.389999757689499,0.520316642103749,0.312715871234561
62,79,41.721060000000001,-87.672579999999996,0,0,1.210000000000000,RIDGE PARK WETLANDS,0.722153916795673,0.963456934988080,0.580645748323230
63,79,41.721060000000001,-87.672579999999996,0,0,9.820000000000000,RIDGE,0.117982513523818,0.160329401050728,0.096625579899393
64,80,41.887889999999999,-87.620679999999993,1,0,1.120000000000000,RIVER ESPLANADE,0.591439861302149,0.792068305042452,0.476132286656936
65,80,41.887889999999999,-87.620679999999993,1,0,1.380000000000000,OGDEN (WILLIAM) PLAZA,1.380000193334192,1.844135494773084,1.108556477316017
66,80,41.887889999999999,-87.620679999999993,1,0,5.830000000000000,PARK NO. 546,5.249557539298420,6.062897987811432,3.644561288877323
67,83,41.847650000000002,-87.617599999999996,0,1,657.830000000000041,BURNHAM (DANIEL),0.187792523471149,0.249623364475584,0.150147990090380
68,84,41.874200000000002,-87.661789999999996,0,0,2.550000000000000,GARIBALDI (GIUSEPPI),2.313662785447975,3.097172431190696,1.862181667442843
69,84,41.874200000000002,-87.661789999999996,0,0,7.070000000000000,ARRIGO (VICTOR),6.640188050292944,9.100088125141259,5.471447798028324
70,86,41.882249999999999,-87.676670000000001,0,0,1.757000000000000,PARK NO. 578,1.756999807788288,2.721648238301746,1.636193825297865
71,86,41.882249999999999,-87.676670000000001,0,0,3.260000000000000,"TOUHY-HERBERT (JOHN, VICTOR)",1.167584241577151,1.761902525395894,1.059216247073977
72,87,41.855490000000003,-87.623869999999997,1,0,0.510000000000000,LIN (MARGARET HIE DING),0.510000182718928,0.681457471735002,0.409845915135560
73,87,41.855490000000003,-87.623869999999997,1,0,3.060000000000000,CHICAGO WOMEN'S PARK AND GARDENS,2.526100652933073,3.572718225819614,2.148723921178076
74,88,41.879140000000000,-87.651949999999999,1,0,2.710000000000000,BARTELME (MARY),2.710000744180702,3.634782369829006,2.185254408827861
75,90,41.890929999999997,-87.624139999999997,1,0,1.380000000000000,OGDEN (WILLIAM) PLAZA,1.380000193334192,1.844135494773084,1.108504526720578
76,91,41.772610000000000,-87.637280000000004,0,0,3.120000000000000,HARRIS (RYAN) MEMORIAL,2.524169175169024,3.388684213019471,2.040640668133553
77,92,41.847890000000000,-87.695329999999998,0,0,1.020000000000000,WASHTENAW,1.019999745087095,1.334385133933539,0.802627202540838
78,93,41.877980000000001,-87.644000000000005,1,0,1.110000000000000,HERITAGE GREEN,1.109997729273787,1.425657790995791,0.857129909740410
79,94,41.856209999999997,-87.710239999999999,0,0,0.080000000000000,PARK NO. 519,0.080000536502229,0.107090523051874,0.064406258411270
80,94,41.856209999999997,-87.710239999999999,0,0,0.180000000000000,LONDON (LOUIS),0.180000092553093,0.382883971515548,0.230273634941709
81,96,41.816870000000002,-87.601860000000002,0,0,0.200000000000000,CHAMBERLAIN TRIANGLE,0.200000111430588,0.261351937161973,0.157277194007799
82,96,41.816870000000002,-87.601860000000002,0,0,2.890000000000000,"WILLIAMS-DAVIS (HATTIE KAY,IZORA)",0.938500309270432,1.256968390922032,0.756422407377049
83,98,41.820239999999998,-87.616889999999998,0,0,0.240000000000000,POPLAR,0.239999886018706,0.379823411634497,0.228559473232962
84,98,41.820239999999998,-87.616889999999998,0,0,0.370000000000000,PARK NO. 592,0.369999450524457,0.490362936211895,0.295076846135569
85,100,41.805680000000002,-87.621129999999994,0,0,0.750000000000000,HARDING (GEORGE),0.749999499758824,0.997278807889853,0.600248866054012
86,101,41.795209999999997,-87.587530000000001,1,0,0.240000000000000,CORNELL (PAUL),0.239999458827117,0.325316568209178,0.195835234930891
87,101,41.795209999999997,-87.587530000000001,1,0,1.290000000000000,SPRUCE,0.226438979516137,0.286183728684123,0.172277907789242
88,101,41.795209999999997,-87.587530000000001,1,0,551.519999999999982,JACKSON (ANDREW),8.303864975498097,10.684014083609339,6.431601131127235
89,102,41.903190000000002,-87.628649999999993,1,0,0.180000000000000,MARIANO (LOUIS),0.180000274299251,0.239183136423670,0.143745105042513
90,102,41.903190000000002,-87.628649999999993,1,0,0.610000000000000,GOUDY (WILLIAM) SQUARE,0.609999951626678,0.808296374175952,0.485772738616478
91,102,41.903190000000002,-87.628649999999993,1,0,2.840000000000000,WASHINGTON SQUARE,0.007293648425408,0.009779628375219,0.005877394740666
92,102,41.903190000000002,-87.628649999999993,1,0,1209.980000000000018,LINCOLN (ABRAHAM),0.400403525387985,0.528187734205786,0.317432083510651
93,105,41.871820000000000,-87.627549999999999,1,0,0.400000000000000,PARK NO. 543,0.399999815021327,0.504517579890093,0.303353422002709
94,105,41.871820000000000,-87.627549999999999,1,0,1.460000000000000,DEARBORN (HENRY),1.460000510049972,1.936847858682266,1.164576714963786
95,105,41.871820000000000,-87.627549999999999,1,0,295.449999999999989,GRANT (ULYSSES),8.770625848912493,12.462674227319706,7.493484914809074
96,107,41.965499999999999,-87.648610000000005,0,0,12.779999999999999,CLARENDON COMM. CTR.,12.628311402895470,16.747836178093856,10.055489705295807
97,107,41.965499999999999,-87.648610000000005,0,0,1209.980000000000018,LINCOLN (ABRAHAM),51.760582387387558,68.279380671972675,40.995302445640334
98,108,41.889960000000002,-87.716369999999998,0,0,0.450000000000000,SAINT LOUIS,0.449999726548589,0.596136775882778,0.358341451509215
99,108,41.889960000000002,-87.716369999999998,0,0,175.900000000000006,GARFIELD (JAMES),11.190891814025331,14.707147963507541,8.840556332059602
100,113,41.880839999999999,-87.666780000000003,1,0,5.850000000000000,SKINNER (MARK),0.006153132556228,0.009489972243960,0.005705282493529
101,113,41.880839999999999,-87.666780000000003,1,0,14.240000000000000,UNION,8.355196756920687,10.824549391679042,6.507617784023524
102,114,41.775170000000003,-87.586230000000000,0,0,551.519999999999982,JACKSON (ANDREW),50.456691162870968,64.919167229607339,39.092307275884878
103,115,41.892130000000002,-87.610029999999995,0,0,3.430000000000000,DUSABLE (JEAN BAPTISTE POINTE),2.178704854007824,2.919191890549065,1.754685317674471
104,115,41.892130000000002,-87.610029999999995,0,0,5.780000000000000,ADDAMS (JANE) MEML.,5.780001709221198,5.777457360140187,3.472748617913409
105,115,41.892130000000002,-87.610029999999995,0,0,1209.980000000000018,LINCOLN (ABRAHAM),3.868149005966926,5.102624551200665,3.067116077769402
106,117,41.828270000000003,-87.694770000000005,0,1,0.940000000000000,BRIGHTON,0.940000105459063,1.255566982829486,0.755446524251713
107,121,41.939529999999998,-87.683199999999999,0,0,0.790000000000000,FELLGER (CHARLES),0.790000094813686,1.023187512945092,0.614573856049390
108,121,41.939529999999998,-87.683199999999999,0,0,9.080000000000000,HAMLIN (HANNIBAL),2.599686230169713,3.486933978451937,2.094414204448804
109,122,41.880290000000002,-87.761679999999998,0,0,140.729999999999990,COLUMBUS (CHRISTOPHER),0.034415783571156,0.046069837111499,0.027696990241381
110,126,41.901829999999997,-87.632859999999994,1,0,0.180000000000000,MARIANO (LOUIS),0.173004839538808,0.229887650440864,0.138161571916515
111,126,41.901829999999997,-87.632859999999994,1,0,2.840000000000000,WASHINGTON SQUARE,2.775210627672682,3.721118296167120,2.236377430887726
112,126,41.901829999999997,-87.632859999999994,1,0,8.730000000000000,SEWARD (WILLIAM),0.149812316064169,0.201964441768850,0.121379833551362
113,129,41.802160000000001,-87.743030000000005,1,0,13.310000000000000,VITTUM (HARRIET ELIZABETH),2.715491402729433,3.633484396105178,2.187064316627199
114,131,41.882109999999997,-87.686470000000000,0,1,2.130000000000000,STARR (ELLEN GATES),2.130001618484332,2.785381015027347,1.674512184364374
115,132,41.909959999999998,-87.719110000000001,0,1,0.700000000000000,PARK NO. 514,0.699999984880151,0.903635195171772,0.543013058468506
116,132,41.909959999999998,-87.719110000000001,0,1,1.180000000000000,SIMONS (ALMIRA),1.179999886750651,1.577998781451429,0.948252070253453
117,132,41.909959999999998,-87.719110000000001,0,1,1.270000000000000,BEILFUSS (ALBERT W.),0.022590712396153,0.034926485416670,0.020988046690741
118,132,41.909959999999998,-87.719110000000001,0,1,16.760000000000002,PARK NO. 572,0.018754958922490,0.021626673017779,0.012995914637489
119,135,41.896819999999998,-87.621809999999996,1,0,1.010000000000000,SENECA,1.010000581211286,1.353329404134088,0.813408474350243
120,135,41.896819999999998,-87.621809999999996,1,0,7.200000000000000,LAKE SHORE,7.200001063395305,9.480740006795745,5.698327577219302
121,135,41.896819999999998,-87.621809999999996,1,0,1209.980000000000018,LINCOLN (ABRAHAM),0.485109834620773,0.639927093901102,0.384623373700012
122,139,41.815550000000002,-87.694429999999997,0,0,7.280000000000000,KELLY (EDWARD),6.273161974456047,8.444275528082692,5.081725801621674
